0,1,2,3,4,5
Market  Place Center Whole Loan Summary,Market  Place Center Whole Loan Summary,Market  Place Center Whole Loan Summary,Market  Place Center Whole Loan Summary,Market  Place Center Whole Loan Summary,Market  Place Center Whole Loan Summary
Note,Original  Balance,Cut-off  Date Balance,,Note  Holder,Controlling  Piece
A-1-A,"$36,000,000","$36,000,000",,WFCM 2025-C65,Yes
A-1-B(1),4000000,4000000,,WFB,No
A-2(1),27000000,27000000,,WFB,No
A-3-A(1),10000000,10000000,,WFB,No
A-3-B(1),4000000,4000000,,WFB,No
A-4-A,24000000,24000000,,WFCM 2025-C65,No
A-4-B(1),10000000,10000000,,JPMCB,No
A-5(1),20000000,20000000,,JPMCB,No
Whole Loan,"$135,000,000","$135,000,000",,,
