0,1,2,3,4,5,6,7
Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,,Property  Information,Property  Information
Mortgage Loan Seller:,Mortgage Loan Seller:,JPMCB,JPMCB,JPMCB,,Single Asset/Portfolio:,Single Asset
Credit Assessment (Fitch/MDBRS/Moody’s):,Credit Assessment (Fitch/MDBRS/Moody’s):,A-/AA(low)/Baa3,A-/AA(low)/Baa3,A-/AA(low)/Baa3,,Location:,"Boston, MA 02210"
Original Balance(1):,Original Balance(1):,"$32,300,000","$32,300,000","$32,300,000",,General Property Type:,Mixed Use
Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$32,300,000","$32,300,000","$32,300,000",,Detailed Property Type:,Lab/Office
% of Initial Pool Balance:,% of Initial Pool Balance:,5.2%,5.2%,5.2%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,2013/NAP
Borrower Sponsor:,Borrower Sponsor:,Diversified Healthcare Trust,Diversified Healthcare Trust,Diversified Healthcare Trust,,Size:,"1,134,479 SF"
Guarantor(2):,Guarantor(2):,Diversified Healthcare Trust,Diversified Healthcare Trust,Diversified Healthcare Trust,,Cut-off Date Balance per SF(1):,$493
Mortgage Rate:,Mortgage Rate:,4.93554%(3),4.93554%(3),4.93554%(3),,Maturity Date Balance per SF(1):,$493
Note Date:,Note Date:,8/6/2025,8/6/2025,8/6/2025,,Property Manager:,The RMR Group LLC
Maturity Date:,Maturity Date:,9/1/2030,9/1/2030,9/1/2030,,,(borrower-related)
Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,Underwriting  and Financial Information,Underwriting  and Financial Information
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NOI(6):,"$92,205,654"
IO Period:,IO Period:,60 months,60 months,60 months,,UW NCF:,"$91,922,034"
Seasoning:,Seasoning:,1 month,1 month,1 month,,UW NOI Debt Yield(1):,16.5%
Prepayment Provisions(4):,Prepayment Provisions(4):,"L(25),D(29),O(6)","L(25),D(29),O(6)","L(25),D(29),O(6)",,UW NCF Debt Yield(1):,16.4%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,UW NOI Debt Yield at Maturity(1):,16.5%
Additional Debt Type(1):,Additional Debt Type(1):,Pari Passu/B-Note,Pari Passu/B-Note,Pari Passu/B-Note,,UW NCF DSCR(1):,3.29x
Additional Debt Balance(1):,Additional Debt Balance(1):,"$526,500,000/$441,200,000","$526,500,000/$441,200,000","$526,500,000/$441,200,000",,Most Recent NOI(6):,"$63,118,234 (5/31/2025 TTM)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,Yes (Mezzanine),Yes (Mezzanine),Yes (Mezzanine),,2nd Most Recent NOI(7):,"$63,072,063 (12/31/2024)"
,,,,,,3rd Most Recent NOI(7):,"$77,205,139 (12/31/2023)"
Reserves(5),Reserves(5),Reserves(5),Reserves(5),Reserves(5),,Most Recent Occupancy:,99.6% (7/1/2025)
Type,Initial,Initial,Monthly,Cap,,2nd Most Recent Occupancy:,99.6% (12/31/2024)
RE Taxes:,$0,$0,Springing,NAP,,3rd Most Recent Occupancy:,99.9% (12/31/2023)
Insurance:,$0,$0,Springing,NAP,,Appraised Value (as of)(8):,"$1,644,000,000 (6/10/2025)"
Vertex TI Reserve:,"$173,530,598","$173,530,598",$0,NAP,,Appraised Value per SF(8):,"$1,449"
Vertex Free Rent:,"$58,450,518","$58,450,518",$0,NAP,,Cut-off Date LTV Ratio(1)(8):,34.0%
Vertex Parking Garage Credit:,"$1,402,908","$1,402,908",$0,NAP,,Maturity Date LTV Ratio(1)(8):,34.0%
,,,,,,,
