0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2022-2,AART 2022-2,,,AART 2026-1,AART 2026-1,
Weighted Average APR,,,6.55,%,,,9.10,%
Aggregate Amount Financed,,$,1112887614.32,,,$,1121938434.96,
Number of Contracts in Pool,,,59250,,,,59907,
Average Amount Financed,,$,18782.91,,,$,18728.00,
Weighted Average Original Maturity (in Months),,,69.41,,,,70.39,
Weighted Average Remaining Maturity (in Months),,,55.00,,,,53.46,
Percentage of Receivables with Original Maturities > 60 Months,,,77.77,%,,,80.01,%
Percentage of New Vehicles,,,50.01,%,,,40.02,%
Weighted Average FICO Score,,,729.59,,,,734.12,
Weighted Average Loan-to-Value,,,93.57,,,,94.27,
Cutoff Date,,,"September 1, 2022",,,,"February 1, 2026",
