0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2024-1,AART 2024-1,,,AART 2026-1,AART 2026-1,
Weighted Average APR,,,9.62,%,,,9.10,%
Aggregate Amount Financed,,$,1121999935.31,,,$,1121938434.96,
Number of Contracts in Pool,,,59162,,,,59907,
Average Amount Financed,,$,18964.88,,,$,18728.00,
Weighted Average Original Maturity (in Months),,,70.97,,,,70.39,
Weighted Average Remaining Maturity (in Months),,,53.76,,,,53.46,
Percentage of Receivables with Original Maturities > 60 Months,,,82.05,%,,,80.01,%
Percentage of New Vehicles,,,40.00,%,,,40.02,%
Weighted Average FICO Score,,,734.63,,,,734.12,
Weighted Average Loan-to-Value,,,95.81,,,,94.27,
Cutoff Date,,,"February 1, 2024",,,,"February 1, 2026",
