0,1,2,3,4,5,6,7,8,9,10
Setna  Industrial Portfolio Summary,Setna  Industrial Portfolio Summary,Setna  Industrial Portfolio Summary,Setna  Industrial Portfolio Summary,Setna  Industrial Portfolio Summary,Setna  Industrial Portfolio Summary,Setna  Industrial Portfolio Summary,Setna  Industrial Portfolio Summary,Setna  Industrial Portfolio Summary,Setna  Industrial Portfolio Summary,Setna  Industrial Portfolio Summary
Property,"City,  State",Year  Built / Renovated,Net  Rentable Area (SF)(1),Occupancy  %(1),Allocated  Cut-off Date Balance(2),%  of Allocated Cut-off Date Balance(2),Appraised  Value(3),%  of Appraised Value(3),UW  NCF,%  of UW NCF
1345  South 52nd Street,"Tempe,  AZ",1988  / 2025,112300,100.0%,"$20,031,250",50.7%,"$32,050,000",50.7%,"$1,467,900",37.5%
475  Bond Street,"Lincolnshire,  IL",2000  / 2024,223940,100.0%,"$14,375,000",36.4%,"$23,000,000",36.4%,"$2,091,299",53.5%
402  West Fairmont Drive,"Tempe,  AZ",1981  / 2022,29995,100.0%,"$5,093,750",12.9%,"$8,150,000",12.9%,"$350,611",9.0%
Total  / Weighted Average,,,366235,100.0%,"$39,500,000",100.0%,"$63,200,000",100.0%,"$3,909,811",100.0%
