0,1,2,3
,Fair Value  (in millions),,Fair Value  (as a percentage of the aggregate fair  value of the Notes and Certificates)
Class A-1 Notes,$208.0,,13.8%
Class A-2a Notes,$241.8,,16.0%
Class A-2b Notes,$241.8,,16.0%
Class A-3 Notes,$483.5,,32.0% - 32.1%
Class A-4 Notes,$75.0,,5.0%
Certificates,$258.1 - $262.7,,17.1% - 17.4%
Total,"$1,508.1 - $1,512.7",,100.0%
