0,1,2,3,4,5,6,7,8,9,10
Payment Date,,1.00%,,1.50%,,1.75%,,2.00%,,2.50%
"September 15, 2029",,42%,,0%,,0%,,0%,,0%
"October 15, 2029",,37%,,0%,,0%,,0%,,0%
"November 15, 2029",,31%,,0%,,0%,,0%,,0%
"December 15, 2029",,24%,,0%,,0%,,0%,,0%
"January 15, 2030",,18%,,0%,,0%,,0%,,0%
"February 15, 2030",,11%,,0%,,0%,,0%,,0%
"March 15, 2030",,5%,,0%,,0%,,0%,,0%
"April 15, 2030",,0%,,0%,,0%,,0%,,0%
,,,,,,,,,,
Weighted Average Life (Years) to Call,,4.24,,3.52,,3.18,,2.87,,2.38
Weighted Average Life (Years) to Maturity,,4.24,,3.52,,3.18,,2.87,,2.38
