0,1,2,3,4,5,6,7,8,9,10,11,12
,,Gross Charge-off Current Period,Gross Charge-off Current Period,,,Recoveries,,Net Charge-off,,Cumulative Net  Charge-off,Cumulative Net  Charge-off,
22-Jul,,$,22011.94,,,$0.00,,"$22,011.94",,,0.00,%(2)
22-Aug,,$,104540.67,,,"($12,628.37)",,"$91,912.30",,,0.01,%
22-Sep,,$,727224.67,,,"($61,783.50)",,"$665,441.17",,,0.05,%
22-Oct,,$,769362.58,,,"($270,427.23)",,"$498,935.35",,,0.08,%
22-Nov,,$,1027982.52,,,"($197,537.53)",,"$830,444.99",,,0.14,%
22-Dec,,$,868284.10,,,"($294,679.74)",,"$573,604.36",,,0.17,%
23-Jan,,$,1370432.12,,,"($400,569.35)",,"$969,862.77",,,0.24,%
23-Feb,,$,1292400.39,,,"($498,868.21)",,"$793,532.18",,,0.29,%
23-Mar,,$,884565.99,,,"($688,883.67)",,"$195,682.32",,,0.30,%
23-Apr,,$,912391.30,,,"($654,072.10)",,"$258,319.20",,,0.32,%
23-May,,$,824155.23,,,"($406,265.95)",,"$417,889.28",,,0.35,%
23-Jun,,$,1075547.37,,,"($469,488.23)",,"$606,059.14",,,0.39,%
23-Jul,,$,933753.04,,,"($448,711.69)",,"$485,041.35",,,0.42,%
23-Aug,,$,845475.46,,,"($589,751.24)",,"$255,724.22",,,0.43,%
23-Sep,,$,616670.34,,,"($417,827.16)",,"$198,843.18",,,0.45,%
23-Oct,,$,961021.87,,,"($405,333.77)",,"$555,688.10",,,0.48,%
23-Nov,,$,1167501.68,,,"($328,853.63)",,"$838,648.05",,,0.54,%
23-Dec,,$,959783.65,,,"($416,007.38)",,"$543,776.27",,,0.57,%
24-Jan,,$,790373.08,,,"($628,084.95)",,"$162,288.13",,,0.58,%
24-Feb,,$,1047458.53,,,"($437,700.17)",,"$609,758.36",,,0.62,%
24-Mar,,$,820200.88,,,"($583,860.17)",,"$236,340.71",,,0.64,%
24-Apr,,$,497233.43,,,"($478,727.22)",,"$18,506.21",,,0.64,%
24-May,,$,750575.70,,,"($449,854.95)",,"$300,720.75",,,0.66,%
24-Jun,,$,440834.15,,,"($346,036.43)",,"$94,797.72",,,0.67,%
24-Jul,,$,787343.22,,,"($292,343.81)",,"$494,999.41",,,0.70,%
24-Aug,,$,468957.35,,,"($326,869.39)",,"$142,087.96",,,0.71,%
24-Sep,,$,533348.74,,,"($207,323.29)",,"$326,025.45",,,0.73,%
24-Oct,,$,613112.75,,,"($472,814.55)",,"$140,298.20",,,0.74,%
24-Nov,,$,677842.62,,,"($212,803.49)",,"$465,039.13",,,0.77,%
24-Dec,,$,811820.79,,,"($285,066.27)",,"$526,754.52",,,0.80,%
25-Jan,,$,581264.04,,,"($370,597.71)",,"$210,666.33",,,0.82,%
25-Feb,,$,475104.45,,,"($421,869.04)",,"$53,235.41",,,0.82,%
25-Mar,,$,404620.86,,,"($403,427.81)",,"$1,193.05",,,0.82,%
25-Apr,,$,324140.49,,,"($275,694.54)",,"$48,445.95",,,0.82,%
25-May,,$,261402.14,,,"($334,792.79)",,"($73,390.65)",,,0.82,%
25-Jun,,$,347328.60,,,"($303,321.15)",,"$44,007.45",,,0.82,%
25-Jul,,$,430686.68,,,"($283,765.52)",,"$146,921.16",,,0.83,%
25-Aug,,$,221934.99,,,"($345,088.24)",,"($123,153.25)",,,0.82,%
25-Sep,,$,282411.98,,,"($268,228.60)",,"$14,183.38",,,0.82,%
25-Oct,,$,341691.16,,,"($143,630.99)",,"$198,060.17",,,0.84,%
25-Nov,,$,197175.29,,,"($107,017.60)",,"$90,157.69",,,0.84,%
25-Dec,,$,182965.37,,,"($141,748.58)",,"$41,216.79",,,0.84,%
26-Jan,,$,157129.36,,,"($144,841.92)",,"$12,287.44",,,0.84,%
26-Feb,,$,183493.99,,,"($153,684.25)",,"$29,809.74",,,0.85,%
26-Mar,,$,125483.77,,,"($138,875.51)",,"($13,391.74)",,,0.85,%
