0,1,2,3,4,5,6,7,8,9
Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1)
Tenant Name,Credit Rating (Moody’s/Fitch  /S&P)(2),Tenant SF,Approx.% of SF,Annual UW Rent,% of Total Annual UW Rent,Annual UW Rent PSF,Lease Expiration,Renewal Options,Term. Option (Y/N)
Takeda,Baa1 / NR / BBB+,495716,37.7%,"$47,726,248",37.1%,$96.28,Various(3),Various(3),N
Agios Pharmaceuticals(4)(5)(6),NR / NR / NR,201593,15.3%,"$20,232,748",15.7%,$100.36,2/29/2028,2 x 5 yr,N
Blueprint Medicines(7),NR / NR / NR,178330,13.6%,"$18,508,766",14.4%,$103.79,11/30/2029,2 x 5 yr,N
Brigham & Women's Hospital,Aa3 / NR / AA-,122410,9.3%,"$13,777,246",10.7%,$112.55,8/31/2026,2 x 5 yr,N
BioNTech,NR / NR / NR,59303,4.5%,"$7,556,973",5.9%,$127.43,Various(8),1 x 5 yr,N
Vericel Corporation,NR / NR / NR,57159,4.3%,"$6,561,853",5.1%,$114.80,2/29/2032,1 x 5 yr,N
Beam Therapeutics(9),NR / NR / NR,38203,2.9%,"$3,664,814",2.9%,$95.93,Various(10),1 x 5 yr,N
Repertoire Immune Medicine(11)(12),NR / NR / NR,35943,2.7%,"$3,492,222",2.7%,$97.16,9/30/2028,1 x 5 yr,N
Fulcrum Therapeutics,NR / NR / NR,28731,2.2%,"$2,685,487",2.1%,$93.47,6/30/2028,1 x 5 yr,N
Voyager Therapeutics(13),NR / NR / NR,26148,2.0%,"$2,669,188",2.1%,$102.08,11/30/2026,2 x 5 yr,N
Subtotal/Wtd. Avg.,,1243536,94.6%,"$126,875,543",98.7%,$102.03,,,
,,,,,,,,,
Other Tenants,,17044,1.3%,"$1,685,291",1.3%,$98.88,,,
Occupied Subtotal/Wtd. Avg.,,1260580,95.9%,"$128,560,835",100.0%,$101.99,,,
,,,,,,,,,
Vacant Space,,53901,4.1%,,,,,,
Total,,1314481,100.0%,,,,,,
