0,1,2,3,4,5
Comparable Office Lease Summary(1),Comparable Office Lease Summary(1),Comparable Office Lease Summary(1),Comparable Office Lease Summary(1),Comparable Office Lease Summary(1),Comparable Office Lease Summary(1)
Subject/Location,Tenant Name,Office NRA (SF),Lease Date,Lease Term (Yrs.),Office Rent PSF
205 East 42nd Street,,"306,048(2)",,27.4(2,$32.39(2)(3)
"New York, NY",,"306,048(2)",,27.4(2,$32.39(2)(3)
708 Third Avenue,Riveron,310000,May-25,10.8,$72.09
"New York, NY 10017",Riveron,310000,May-25,10.8,$72.09
730 Third Avenue,Carlton Fields,407000,Apr-25,16.7,$71.28
"New York, NY 10017",Carlton Fields,407000,Apr-25,16.7,$71.28
140 East 45th Street,Deerpath Capital,576000,Apr-25,5.4,$82.90
"New York, NY 10017",Deerpath Capital,576000,Apr-25,5.4,$82.90
60 East 42nd Street,Gerson Lehrman Group (GLG),1110005,Apr-25,10.9,$81.89
"New York, NY 10165",Gerson Lehrman Group (GLG),1110005,Apr-25,10.9,$81.89
99 Park Avenue,Amalgamated Bank,570526,Apr-25,16.3,$68.92
"New York, NY 10016",Amalgamated Bank,570526,Apr-25,16.3,$68.92
360 Lexington Avenue,Webster Bank,256038,Feb-25,10.9,$71.46
"New York, NY 10017",Webster Bank,256038,Feb-25,10.9,$71.46
220 East 42nd Street,"ALM Media Holdings, Inc.",1112467,Jan-25,7.8,$59.74
"New York, NY 10017","ALM Media Holdings, Inc.",1112467,Jan-25,7.8,$59.74
140 East 45th Street,Clyde & Co.,576000,Jan-25,15.8,$77.42
"New York, NY 10017",Clyde & Co.,576000,Jan-25,15.8,$77.42
600 Third Avenue,Aarsonson Rappaport Feinstein & Deutsch,536017,Jan-25,16.3,$67.19
"New York, NY 10016",Aarsonson Rappaport Feinstein & Deutsch,536017,Jan-25,16.3,$67.19
220 East 42nd Street,The Brazilian Financial Office,1112467,Nov-24,10.8,$62.82
"New York, NY 10017",The Brazilian Financial Office,1112467,Nov-24,10.8,$62.82
