0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,SGFC,SGFC,SGFC,,Single Asset/Portfolio:,Single Asset
,,,,,,Location:,"Ellenton, FL 34222"
Original Balance(1):,Original Balance(1):,"$18,000,000","$18,000,000","$18,000,000",,General Property Type:,Retail
Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$18,000,000","$18,000,000","$18,000,000",,Detailed Property Type:,Outlet Center
% of Initial Pool Balance:,% of Initial Pool Balance:,3.1%,3.1%,3.1%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,1991/2015
Borrower Sponsor:,Borrower Sponsor:,"Simon Property Group, L.P.","Simon Property Group, L.P.","Simon Property Group, L.P.",,Size:,"477,175 SF"
Guarantor:,Guarantor:,"Simon Property Group, L.P.","Simon Property Group, L.P.","Simon Property Group, L.P.",,Cut-off Date Balance PSF(1):,$251
Mortgage Rate:,Mortgage Rate:,6.2080%,6.2080%,6.2080%,,Maturity Date Balance PSF(1):,$251
Note Date:,Note Date:,11/18/2025,11/18/2025,11/18/2025,,Property Manager:,"Simon Management Associates, LLC"
Maturity Date:,Maturity Date:,12/1/2035,12/1/2035,12/1/2035,,,(borrower-related)
Original Term to Maturity:,Original Term to Maturity:,120 months,120 months,120 months,,Underwriting and Financial Information,Underwriting and Financial Information
Original Amortization Term:,Original Amortization Term:,0 months,0 months,0 months,,UW NOI:,"$18,228,803"
IO Period:,IO Period:,120 months,120 months,120 months,,UW NCF:,"$17,436,692"
Seasoning:,Seasoning:,4 months,4 months,4 months,,UW NOI Debt Yield(1):,15.2%
Prepayment Provisions:,Prepayment Provisions:,"L(28),D(85),O(7)","L(28),D(85),O(7)","L(28),D(85),O(7)",,UW NCF Debt Yield(1):,14.5%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,UW NOI Debt Yield at Maturity(1):,15.2%
Additional Debt Type(1):,Additional Debt Type(1):,Pari Passu,Pari Passu,Pari Passu,,UW NCF DSCR(1):,2.31x
Additional Debt Balance(1):,Additional Debt Balance(1):,"$102,000,000","$102,000,000","$102,000,000",,Most Recent NOI:,"$19,698,987 (9/30/2025 TTM)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NOI:,"$18,986,213 (12/31/2024)"
,,,,,,3rd Most Recent NOI:,"$18,777,241 (12/31/2023)"
Reserves(2),Reserves(2),Reserves(2),Reserves(2),Reserves(2),,Most Recent Occupancy(4):,84.4% (10/15/2025)
Type,Initial,Initial,Monthly,Cap,,2nd Most Recent Occupancy(5):,85.2% (12/31/2024)
RE Taxes:,$0,$0,Springing,NAP,,3rd Most Recent Occupancy(5):,85.2% (12/31/2023)
Insurance:,$0,$0,Springing,NAP,,Appraised Value (as of):,"$198,000,000 (8/21/2025)"
Replacement Reserve:,$0,$0,Springing,NAP,,Appraised Value PSF:,$415
TI/LC Reserve:,$0,$0,"$60,000","$1,432,000",,Cut-off Date LTV Ratio(1):,60.6%
Outstanding TI/LC Reserve(3):,"$1,472,100","$1,472,100",$0,NAP,,Maturity Date LTV Ratio(1):,60.6%
,,,,,,,
