0,1,2
Rep. No. on Annex D-1,Mortgage Loan and Number as Identified on Annex A-1,Description of the Exception
,,entity that has elected to be treated as a real estate investment trust and whose primary business activity is limited to acting as a landlord of properties under long-term triple-net leases that may include gaming facilities.
(18) Insurance,CityCenter (Aria & Vdara) (Loan No. 1),"With respect to all risk insurance, the deductible may be up  to $1,000,000, and with respect to flood, windstorm and earthquake coverage, the deductible may not exceed 5% of the total insurable value  of the applicable individual Mortgaged Property (each, an “Individual Property”), subject to a $5,000,000 minimum (provided  that, if the non-recourse carveout guarantor provides a guaranty acceptable to the lender and the rating agencies guaranteeing any failure  by the Mortgagors to pay their obligations actually incurred with respect to that portion of the deductible that exceeds 5% of the total  insurable value of an Individual Property, the deductibles for windstorm and earthquake coverage may be up to 15% of the total insurable  value of the Individual Property). Additionally, the Mortgagors may utilize a $4,000,000 aggregate deductible subject to a $1,000,000  per occurrence deductible and a $1,000,000 maintenance deductible following the exhaustion of the aggregate and the aggregate does not  apply to any losses arising from named windstorm, earthquake or flood. Such deductibles may not be considered customary.  The Mortgagors are not required to maintain the coverages on  the Mortgaged Property required under the Mortgage Loan documents for so long as (A) the MGM Lease is in full force and effect, (B) no  default by MGM Tenant beyond any applicable notice and cure period has occurred and is continuing under the MGM Lease and (C) MGM Tenant  maintains insurance policies on each Individual Property that satisfy the requirements set forth in the Mortgage Loan documents (the “MGM  Policies”) (except it is acknowledged and agreed that the MGM Policies are permitted to vary from the requirements set forth  in the Mortgage Loan documents with respect to any property or terrorism deductible, provided that such deductible must be no greater  than $5,000,000). Such deductible may not be considered customary.  With respect to Syndicate Insurance Ratings, the Mortgagors are  only required to use commercially reasonable efforts to obtain insurance from insurance companies with the required ratings. In the event  that the Mortgagors are not able to obtain insurance from insurance companies rated at least BBB+ by S&P (and to the extent the applicable  rating agency rates securities representing an interest in the Whole Loan and the applicable insurance carrier, Baa1 by Moody’s  and BBB+ by Fitch), for 40% of the insurance coverage, the Mortgagors may instead obtain such insurance from insurance companies rated  A:X or better in the current Best’s Insurance Reports.  The MGM Lease provides that all insurance proceeds (except business  interruption insurance proceeds not allocated to rent expenses which will be payable to and retained by the MGM Tenant) payable by reason  of any property loss or damage to the Mortgaged Property, or any"
