0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Mortgaged Property Information,Mortgaged Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,AREF2,AREF2,AREF2,,Single Asset/Portfolio:,Single Asset
,,,,,,Location:,"Hacienda Heights, CA 91745"
Original Balance:,Original Balance:,"$45,000,000","$45,000,000","$45,000,000",,General Property Type:,Retail
Cut-off Date Balance:,Cut-off Date Balance:,"$45,000,000","$45,000,000","$45,000,000",,Detailed Property Type:,Anchored
% of Initial Pool Balance:,% of Initial Pool Balance:,6.5%,6.5%,6.5%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,1974/2025
Borrower Sponsors(1):,Borrower Sponsors(1):,Various,Various,Various,,Size:,"122,726 SF"
Guarantors(1):,Guarantors(1):,Various,Various,Various,,Cut-off Date Balance PSF:,$367
Mortgage Rate:,Mortgage Rate:,6.6000%,6.6000%,6.6000%,,Maturity Balance PSF:,$367
Note Date:,Note Date:,9/4/2025,9/4/2025,9/4/2025,,Property Manager:,"Pacific Castle PM, Inc. (affiliated)"
Maturity Date:,Maturity Date:,9/6/2035,9/6/2035,9/6/2035,,,
Term to Maturity:,Term to Maturity:,120 months,120 months,120 months,,Underwriting and Financial Information,Underwriting and Financial Information
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NOI:,"$4,279,327"
IO Period:,IO Period:,120 months,120 months,120 months,,UW NCF,"$4,130,829"
Seasoning:,Seasoning:,1 month,1 month,1 month,,UW NOI Debt Yield:,9.5%
Prepayment Provisions:,Prepayment Provisions:,"L(25),D(88),O(7)","L(25),D(88),O(7)","L(25),D(88),O(7)",,UW NCF Debt Yield:,9.2%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Springing/Springing,Springing/Springing,Springing/Springing,,UW NOI Debt Yield at Maturity:,9.5%
Additional Debt Type:,Additional Debt Type:,NAP,NAP,NAP,,UW NCF DSCR:,1.37x
Additional Debt Balance:,Additional Debt Balance:,NAP,NAP,NAP,,Most Recent NOI:,"$3,955,343 (4/30/2025 TTM)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NOI:,"$3,934,609 (12/31/2024)"
Reserves(2),Reserves(2),Reserves(2),Reserves(2),Reserves(2),,3rd Most Recent NOI:,"$3,724,069 (12/31/2023)"
Type,Initial,Initial,Monthly,Cap,,Most Recent Occupancy:,94.0% (6/1/2025)
RE Taxes:,"$408,397","$408,397","$58,342",NAP,,2nd Most Recent Occupancy:,96.9% (12/31/2024)
Insurance:,"$37,282","$37,282","$9,321",NAP,,3rd Most Recent Occupancy:,93.5% (12/31/2023)
Replacement Reserve:,$0,$0,"$2,148","$77,318",,Appraised Value (as of):,"$73,000,000 (6/6/2025)"
TI/LC Reserve(3):,"$256,355","$256,355","$10,227","$368,178",,Appraised Value per SF:,$595
,,,,,,Cut-off Date LTV Ratio:,61.6%
,,,,,,Maturity Date LTV Ratio:,61.6%
,,,,,,,
