0,1,2,3,4,5,6,7,8,9
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,WFB,WFB,WFB,WFB,WFB,,Single Asset/Portfolio:,Single Asset
,,,,,,,,Location:,"Anchorage, AK 99501"
Original Balance(1):,Original Balance(1):,"$58,000,000","$58,000,000","$58,000,000","$58,000,000","$58,000,000",,General Property Type:,Hospitality
Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$57,932,483","$57,932,483","$57,932,483","$57,932,483","$57,932,483",,Detailed Property Type:,Full Service
% of Initial Pool Balance:,% of Initial Pool Balance:,9.9%,9.9%,9.9%,9.9%,9.9%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,Refinance,Refinance,,Year Built/Renovated:,2000/2021
Borrower Sponsor:,Borrower Sponsor:,William J. Yung III,William J. Yung III,William J. Yung III,William J. Yung III,William J. Yung III,,Size:,392 Rooms
Guarantor:,Guarantor:,"CSC Holdings, LLC","CSC Holdings, LLC","CSC Holdings, LLC","CSC Holdings, LLC","CSC Holdings, LLC",,Cut-off Date Balance Per Room(1):,"$318,506"
Mortgage Rate:,Mortgage Rate:,6.4610%,6.4610%,6.4610%,6.4610%,6.4610%,,Maturity Date Balance Per Room(1):,"$251,662"
Note Date:,Note Date:,3/6/2026,3/6/2026,3/6/2026,3/6/2026,3/6/2026,,Property Manager:,"Crestview Management, LLC"
Maturity Date:,Maturity Date:,3/11/2036,3/11/2036,3/11/2036,3/11/2036,3/11/2036,,,
Term to Maturity:,Term to Maturity:,120 months,120 months,120 months,120 months,120 months,,,
Amortization Term:,Amortization Term:,300 months,300 months,300 months,300 months,300 months,,Underwriting and Financial Information,Underwriting and Financial Information
IO Period:,IO Period:,0 months,0 months,0 months,0 months,0 months,,UW NOI:,"$19,735,966"
Seasoning:,Seasoning:,1 month,1 month,1 month,1 month,1 month,,UW NCF:,"$17,903,315"
Prepayment Provisions(2):,Prepayment Provisions(2):,"L(25),D(88),O(7)","L(25),D(88),O(7)","L(25),D(88),O(7)","L(25),D(88),O(7)","L(25),D(88),O(7)",,UW NOI Debt Yield(1):,15.8%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,Hard/Springing,Hard/Springing,,UW NCF Debt Yield(1):,14.3%
Additional Debt Type(1):,Additional Debt Type(1):,Pari Passu,Pari Passu,Pari Passu,Pari Passu,Pari Passu,,UW NOI Debt Yield at Maturity(1):,20.0%
Additional Debt Balance(1):,Additional Debt Balance(1):,66922006,66922006,66922006,66922006,66922006,,UW NCF DSCR(1):,1.77x
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),No (NAP),No (NAP),,Most Recent NOI:,"$20,059,126 (1/31/2026 TTM)"
Reserves(3),Reserves(3),Reserves(3),Reserves(3),Reserves(3),Reserves(3),Reserves(3),,2nd Most Recent NOI:,"$20,341,296 (12/31/2025)"
Type,Initial,Initial,Monthly,Monthly,Cap,Cap,,3rd Most Recent NOI:,"$18,191,617 (12/31/2024)"
RE Taxes:,"$635,495","$635,495","$90,785","$90,785",NAP,NAP,,Most Recent Occupancy:,74.8% (1/31/2026)
Insurance:,$0,$0,Springing,Springing,NAP,NAP,,2nd Most Recent Occupancy:,75.7% (12/31/2025)
FF&E Reserve:,$0,$0,"$152,721","$152,721",NAP,NAP,,3rd Most Recent Occupancy:,73.8% (12/31/2024)
Seasonality Reserve:,"$1,435,000","$1,435,000",Springing,Springing,"$1,435,000","$1,435,000",,Appraised Value (as of):,"$217,100,000 (8/26/2025)"
Replacement Comfort Letter Reserve:,"$2,500","$2,500",$0,$0,NAP,NAP,,Appraised Value Per Room(1):,"$553,827"
PIP Reserve:,$0,$0,Springing,Springing,NAP,NAP,,Cut-off Date LTV Ratio(1):,57.5%
,,,,,,,,Maturity Date LTV Ratio(1):,45.4%
,,,,,,,,,
,,,,,,,,,
