0,1,2,3,4,5,6,7,8
Notes,Initial Principal  Amount(2),Interest Rate,Accrual Method,Expected Final Payment Date(3),Final Scheduled Payment Date,Initial Price  to Public,Underwriting  Discount,Proceeds to Depositor
Class A-1,"$144,000,000",____%,Actual/360,"March 25, 2026","October 26, 2026",___%,___%,___%
Class A-2a,"$383,000,000 (aggregate)(4)",____%,30/360,"February 25, 2027","November 26, 2027",___%,___%,___%
Class A-2b,"$383,000,000 (aggregate)(4)",Benchmark + ____%(5)(6),Actual/360,"February 25, 2027","November 26, 2027",___%,___%,___%
Class A-3,"$383,000,000",____%,30/360,"December 27, 2027","September 25, 2028",___%,___%,___%
Class A-4,"$90,000,000",____%,30/360,"March 27, 2028","May 25, 2029",___%,___%,___%
Total,"$1,000,000,000",,,,,$______,$_______,$_______
