0,1,2,3,4,5,6
January 2028,,31651743.13,,July 2031,,326223.61
February 2028,,29860835.53,,August 2031,,272218.28
March 2028,,28130981.57,,September 2031,,225806.57
April 2028,,26461738.1,,October 2031,,186532.51
May 2028,,24852780.87,,November 2031,,153791.96
June 2028,,23303816.54,,December 2031,,126736.24
July 2028,,21814445.31,,January 2032,,104089.01
August 2028,,20384394.03,,February 2032,,84945.36
September 2028,,19013175.88,,March 2032,,68666.36
October 2028,,17700257.41,,April 2032,,54656.36
November 2028,,16445397.97,,May 2032,,42395.05
December 2028,,15247937.95,,June 2032,,31820.55
January 2029,,14106826.83,,July 2032,,22916.18
February 2029,,13021086.02,,August 2032,,15651.26
March 2029,,11990027.17,,September 2032,,9958.83
April 2029,,11013072.47,,October 2032,,5759.53
May 2029,,10089645.39,,November 2032,,2921.24
June 2029,,9219421.9,,December 2032,,1274.89
July 2029,,8402103.66,,January 2033,,438.88
August 2029,,7637292.45,,February 2033,,88.53
