0,1,2,3,4,5,6,7
Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,,Property  Information,Property  Information
Mortgage  Loan Seller:,Mortgage  Loan Seller:,BANA,BANA,BANA,,Single  Asset/Portfolio:,Portfolio
,,,,,,Location(2):,"Various,  Various"
Original  Balance:,Original  Balance:,"$63,500,000","$63,500,000","$63,500,000",,General  Property Type:,Self  Storage
Cut-off  Date Balance:,Cut-off  Date Balance:,"$63,500,000","$63,500,000","$63,500,000",,Detailed  Property Type:,Self  Storage
%  of Initial Pool Balance:,%  of Initial Pool Balance:,7.5%,7.5%,7.5%,,Title  Vesting:,Fee
Loan  Purpose:,Loan  Purpose:,Refinance,Refinance,Refinance,,Year  Built/Renovated(2):,Various/Various
Borrower  Sponsor:,Borrower  Sponsor:,Storage  of America,Storage  of America,Storage  of America,,Size(2):,"1,335,997  SF"
Guarantor:,Guarantor:,Robert  B. Walker,Robert  B. Walker,Robert  B. Walker,,Cut-off  Date Balance PSF:,$48
Mortgage  Rate:,Mortgage  Rate:,6.0070%,6.0070%,6.0070%,,Maturity  Date Balance PSF:,$48
Note  Date:,Note  Date:,3/12/2026,3/12/2026,3/12/2026,,Property  Manager:,Storage  of America LLC (borrower-
Maturity  Date:,Maturity  Date:,4/1/2031,4/1/2031,4/1/2031,,,related)
Term  to Maturity:,Term  to Maturity:,60  months,60  months,60  months,,Underwriting  and Financial Information,Underwriting  and Financial Information
Amortization  Term:,Amortization  Term:,0  months,0  months,0  months,,UW  NOI:,"$5,084,575"
IO  Period:,IO  Period:,60  months,60  months,60  months,,UW  NCF:,"$4,950,971"
Seasoning:,Seasoning:,2  months,2  months,2  months,,UW  NOI Debt Yield:,8.0%
Prepayment  Provisions:,Prepayment  Provisions:,"L(26),D(27),O(7)","L(26),D(27),O(7)","L(26),D(27),O(7)",,UW  NCF Debt Yield:,7.8%
Lockbox/Cash  Mgmt Status:,Lockbox/Cash  Mgmt Status:,Springing/Springing,Springing/Springing,Springing/Springing,,UW NOI  Debt Yield at Maturity:,8.0%
Additional  Debt Type:,Additional  Debt Type:,NAP,NAP,NAP,,UW NCF  DSCR:,1.28x
Additional  Debt Balance:,Additional  Debt Balance:,NAP,NAP,NAP,,Most  Recent NOI:,"$5,160,650  (12/31/2025)"
Future  Debt Permitted (Type):,Future  Debt Permitted (Type):,No  (NAP),No  (NAP),No  (NAP),,2nd  Most Recent NOI:,"$5,292,476  (12/31/2024)"
,,,,,,3rd  Most Recent NOI:,"$4,072,127  (12/31/2023)"
,,,,,,Most  Recent Occupancy(3):,57.3%  (Various)
Reserves(1),Reserves(1),Reserves(1),Reserves(1),Reserves(1),,2nd  Most Recent Occupancy:,78.4%  (12/31/2025)
Type,Initial,Initial,Monthly,Cap,,3rd  Most Recent Occupancy:,80.4%  (12/31/2024)
RE  Taxes:,"$238,147","$238,147","$64,575",NAP,,Appraised  Value (as of)(4):,"$92,610,000  (Various)"
Insurance:,"$108,561","$108,561","$37,290",NAP,,Appraised  Value PSF:,$69
Replacement  Reserve:,"$2,900,000","$2,900,000","$11,134",NAP,,Cut-off  Date LTV Ratio:,68.6%
Immediate  Repairs Reserve:,"$275,121","$275,121",$0,NAP,,Maturity  Date LTV Ratio:,68.6%
,,,,,,,
