0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Payment Date,,0.50%,0.50%,,,1.00%,1.00%,,,1.30%,1.30%,,,1.50%,1.50%,,,1.70%,1.70%,,,2.00%,2.00%,
Closing Date,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"June 15, 2026",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"July 15, 2026",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"August 15, 2026",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"September 15, 2026",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"October 15, 2026",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"November 15, 2026",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"December 15, 2026",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"January 15, 2027",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"February 15, 2027",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"March 15, 2027",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"April 15, 2027",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"May 15, 2027",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"June 15, 2027",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"July 15, 2027",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"August 15, 2027",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"September 15, 2027",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"October 15, 2027",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"November 15, 2027",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"December 15, 2027",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"January 15, 2028",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"February 15, 2028",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"March 15, 2028",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"April 15, 2028",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"May 15, 2028",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"June 15, 2028",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"July 15, 2028",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"August 15, 2028",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"September 15, 2028",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"October 15, 2028",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"November 15, 2028",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"December 15, 2028",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,83.97,%
"January 15, 2029",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,61.46,%
"February 15, 2029",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,40.64,%
"March 15, 2029",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,24.05,%
"April 15, 2029",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,8.56,%
"May 15, 2029",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,82.19,%,,,0.00,%
"June 15, 2029",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,64.51,%,,,0.00,%
"July 15, 2029",,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,48.22,%,,,0.00,%
"August 15, 2029",,,100.00,%,,,100.00,%,,,100.00,%,,,84.43,%,,,33.32,%,,,0.00,%
"September 15, 2029",,,100.00,%,,,100.00,%,,,100.00,%,,,67.99,%,,,19.84,%,,,0.00,%
"October 15, 2029",,,100.00,%,,,100.00,%,,,95.80,%,,,52.75,%,,,7.77,%,,,0.00,%
"November 15, 2029",,,100.00,%,,,100.00,%,,,78.57,%,,,38.71,%,,,0.00,%,,,0.00,%
"December 15, 2029",,,100.00,%,,,100.00,%,,,65.38,%,,,27.32,%,,,0.00,%,,,0.00,%
"January 15, 2030",,,100.00,%,,,100.00,%,,,52.85,%,,,16.71,%,,,0.00,%,,,0.00,%
"February 15, 2030",,,100.00,%,,,89.57,%,,,40.97,%,,,6.90,%,,,0.00,%,,,0.00,%
"March 15, 2030",,,100.00,%,,,75.23,%,,,29.75,%,,,0.00,%,,,0.00,%,,,0.00,%
"April 15, 2030",,,100.00,%,,,61.36,%,,,19.20,%,,,0.00,%,,,0.00,%,,,0.00,%
"May 15, 2030",,,100.00,%,,,47.96,%,,,9.32,%,,,0.00,%,,,0.00,%,,,0.00,%
"June 15, 2030",,,89.14,%,,,35.04,%,,,0.12,%,,,0.00,%,,,0.00,%,,,0.00,%
"July 15, 2030",,,70.71,%,,,22.59,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"August 15, 2030",,,52.45,%,,,10.63,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"September 15, 2030",,,34.37,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"October 15, 2030",,,16.46,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
