0,1,2,3,4,5,6,7,8,9
,,,,Price  to Public,,,Underwriting  Discount,,Proceeds  to the Depositor
Per Class A-1 Note,,,,·%,,,·%,,·%
Per Class A-2-A Note,Per Class A-2-A Note,Per Class A-2-A Note,,·%,,,·%,,·%
Per Class A-2-B Note,Per Class A-2-B Note,Per Class A-2-B Note,,·%,,,·%,,·%
Per Class A-3 Note,,,,·%,,,·%,,·%
Per Class A-4 Note,,,,·%,,,·%,,·%
Per Class B Note,Per Class B Note,Per Class B Note,,·%,,,·%,,·%
Per Class C  Note,Per Class C  Note,Per Class C  Note,,·%,,,·%,,·%
Total,,,,$·,,,$·,,$·
