0,1,2
,,
Initial Invested Amount,,"$1,371,433,000"
Class A Initial Invested Amount,,"$1,200,000,000"
Class A Certificate Rate,,4.65% per year
Class B Initial Invested Amount,,"$51,430,000"
Class B Certificate Rate,,5.08% per year
Controlled Accumulation Amount (subject to adjustment),,"$104,285,833.34"
Approximate Commencement of Controlled Accumulation Period (subject to adjustment),,"July 1, 2026"
Annual Servicing Fee Percentage,,2.0% per year
Collateral Initial Invested Amount,,"$120,003,000"
Enhancement for the Class A and Class B Certificates,,Collateral Invested Amount
Other enhancement for the Class A Certificates,,Subordination of the Class B Certificates
Expected Final Payment Date,,July 2027 Distribution Date
Series Issuance Date,,"July 23, 2024"
Principal Sharing Series,,Yes
Excess Allocation Series,,Yes
Group,,Group I
