0,1,2,3,4,5,6,7,8
Underwriters,,Class A-1a Notes,,Class A-1b Notes,,Class B Notes,,Class C Notes
"SMBC Nikko Securities America, Inc.",,$,,$,,$,,$
Barclays Capital Inc.,,$,,$,,$,,$
Citigroup Global Markets Inc.,,$,,$,,$,,$
Mizuho Securities USA LLC,,$,,$,,$,,$
Total,,$ (1)(2),,$ (1)(2),,$ (1),,$ (1)
