0,1,2,3,4,5,6,7,8,9,10,11,12
,,WOSAT  2021-A,WOSAT  2021-A,WOSAT  2021-A,WOSAT  2021-A,,,WOSAT  2023-A,WOSAT  2023-A,WOSAT  2023-A,WOSAT  2023-A,
,,Starting  Principal  Balance ($),,,% of  Aggregate Starting Principal  Balance,,,Starting  Principal  Balance ($),,,% of  Aggregate Starting Principal  Balance,
Florida,,564597580.56,,,53.2,%,,500490385.91,,,53.7,%
Georgia,,218961449.36,,,20.6,%,,180247653.50,,,19.3,%
North Carolina,,102880179.15,,,9.7,%,,80803313.52,,,8.7,%
Alabama,,97751925.47,,,9.2,%,,96336557.96,,,10.3,%
South Carolina,,57316747.11,,,5.4,%,,52709093.01,,,5.7,%
All Others,,19612573.87,,,1.8,%,,21169997.73,,,2.3,%
Total,,1061120455.52,,,100.0,%,,931757001.63,,,100.0,%
