0,1,2
Cash Flow Analysis(1)(2),Cash Flow Analysis(1)(2),Cash Flow Analysis(1)(2)
,UW,UW PSF
Base Rent,"$4,338,017",$10.40
Straight Line Rent,"$135,453",$0.32
Vacancy,"$135,559",$0.33
Gross Potential Rent,"$4,609,029",$11.05
Reimbursements,"$481,081",$1.15
(Vacancy / Credit Loss),"($135,559)",($0.33)
Effective Gross Income,"$4,954,551",$11.88
,,
Management Fee,"$148,637",$0.36
Real Estate Taxes,"$345,508",$0.83
Total Operating Expenses,"$494,145",$1.19
,,
Net Operating Income,"$4,460,407",$10.70
Replacement Reserves,"$66,776",$0.16
Net Cash Flow,"$4,393,631",$10.54
,,
Occupancy (%)(3),97.0%,
NOI DSCR,2.30x,
NCF DSCR,2.27x,
NOI Debt Yield,11.9%,
NCF Debt Yield,11.8%,
