0,1,2,3,4,5,6,7
Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,,Property  Information,Property  Information
Mortgage Loan Seller:,Mortgage Loan Seller:,"JPMCB, CREFI","JPMCB, CREFI","JPMCB, CREFI",,Single Asset/Portfolio:,Single Asset
,,,,,,Location:,"Las Vegas, NV 89158"
Original Balance(1):,Original Balance(1):,"$75,000,000","$75,000,000","$75,000,000",,General Property Type(5):,Hospitality
Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$75,000,000","$75,000,000","$75,000,000",,Detailed Property Type(5):,Full Service
% of Initial Pool Balance:,% of Initial Pool Balance:,9.8%,9.8%,9.8%,,Title Vesting(5):,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,2009/NAP
Borrower Sponsor:,Borrower Sponsor:,Blackstone Real Estate Partners IX L.P.,Blackstone Real Estate Partners IX L.P.,Blackstone Real Estate Partners IX L.P.,,Size(5):,"5,349 Rooms"
Guarantor:,Guarantor:,Blackstone Real Estate Partners IX-TE,Blackstone Real Estate Partners IX-TE,Blackstone Real Estate Partners IX-TE,,Cut-off Date Balance Per Room(1):,"$476,313"
,,(AIV) L.P.,(AIV) L.P.,(AIV) L.P.,,Maturity Date Balance Per Room(1):,"$476,313"
Mortgage Rate(1)(2):,Mortgage Rate(1)(2):,6.07880916113333%,6.07880916113333%,6.07880916113333%,,Property Manager:,MGM (borrower-related)
Note Date:,Note Date:,12/9/2025,12/9/2025,12/9/2025,,Underwriting  and Financial Information(1),Underwriting  and Financial Information(1)
Maturity Date:,Maturity Date:,12/9/2030,12/9/2030,12/9/2030,,UW NOI(6):,"$632,399,759"
Term to Maturity:,Term to Maturity:,60 Months,60 Months,60 Months,,UW NCF(6):,"$607,952,887"
Amortization Term:,Amortization Term:,0 Months,0 Months,0 Months,,UW NOI Debt Yield(6):,24.8%
IO Period:,IO Period:,60 Months,60 Months,60 Months,,UW NCF Debt Yield(6):,23.9%
Seasoning:,Seasoning:,3 Months,3 Months,3 Months,,UW NOI Debt Yield at Maturity(6):,24.8%
Prepayment Provisions:,Prepayment Provisions:,"YM0.5(27),DorYM0.5(26),O(7)","YM0.5(27),DorYM0.5(26),O(7)","YM0.5(27),DorYM0.5(26),O(7)",,UW NCF DSCR(6):,4.46x
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,Most Recent NOI(6):,"$635,387,355 (9/30/2025 TTM)"
Additional Debt Type(1)(3):,Additional Debt Type(1)(3):,Pari Passu/B-Note,Pari Passu/B-Note,Pari Passu/B-Note,,2nd Most Recent NOI(6):,"$583,734,452 (12/31/2024)"
Additional Debt Balance(1)(3):,Additional Debt Balance(1)(3):,"$2,472,800,000/$902,200,000","$2,472,800,000/$902,200,000","$2,472,800,000/$902,200,000",,3rd Most Recent NOI(6):,"$585,966,283 (12/31/2023)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,Yes (Mezzanine),Yes (Mezzanine),Yes (Mezzanine),,Most Recent Occupancy(6):,94.2% (9/30/2025)
Reserves(4),Reserves(4),Reserves(4),Reserves(4),Reserves(4),,2nd Most Recent Occupancy(6):,95.2% (12/31/2024)
Type,Initial,Initial,Monthly,Cap,,3rd Most Recent Occupancy(6):,93.4% (12/31/2023)
RE Taxes:,$0,$0,Springing,NAP,,Appraised Value (as of)(7):,"$7,032,800,000 (11/25/2025)"
Insurance:,$0,$0,Springing,NAP,,Appraised Value Per Room(7):,"$1,314,788"
Replacement Reserve:,$0,$0,Springing,NAP,,Cut-off Date LTV Ratio(7):,36.2%
TI/LC Reserve:,$0,$0,Springing,NAP,,Maturity Date LTV Ratio(7):,36.2%
,,,,,,,
