0,1,2,3,4,5,6
Payment Date,0%,50%,75%,100%,150%,200%
Closing Date,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
May 2026,75.83%,73.12%,71.73%,70.30%,67.34%,64.24%
June 2026,64.63%,60.46%,58.31%,56.10%,51.52%,46.72%
July 2026,53.34%,47.65%,44.70%,41.68%,35.40%,28.79%
August 2026,41.46%,34.14%,30.34%,26.44%,18.31%,9.73%
September 2026,30.67%,21.78%,17.16%,12.40%,2.48%,0.00%
October 2026,19.03%,8.59%,3.15%,0.00%,0.00%,0.00%
November 2026,6.32%,0.00%,0.00%,0.00%,0.00%,0.00%
December 2026,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,
Weighted Average Life to Maturity (years)(2),0.33,0.30,0.28,0.26,0.24,0.22
Weighted Average Life to Call (years)(2)(3),0.33,0.30,0.28,0.26,0.24,0.22
