0,1,2,3,4,5,6,7,8
,,,,,,,,
,,Initial Principal Amount(2)(3),Initial Principal Amount(2)(3),,,Interest Rate(4),,Final Scheduled Distribution Date
Class A-1 Asset-backed Notes,,$,217840000,,,%,,"July 15, 2026"
Class A-2 Asset-backed Notes,,$,383201000,,,%,,"August 15, 2028"
Class A-3 Asset-backed Notes,,$,383201000,,,%,,"July 15, 2030"
Class A-4 Asset-backed Notes,,$,70420000,,,%,,"January 15, 2031"
Class B Asset-backed Notes,,$,23218000,,,%,,"March 17, 2031"
Class C Asset-backed Notes,,$,11060000,,,%,,"April 15, 2031"
Class D Asset-backed Notes,,$,11060000,,,%,,"May 17, 2032"
