0,1,2,3,4,5
Mortgage Loan,Mortgage Loan Type,Note Name,Control Note/ Non-Control Note,Original Principal Balance,Note Holder(1)
535 & 545 5th Avenue,Non-Serviced,Note A-1,Control,"$75,000,000",BMARK 2026-V20
535 & 545 5th Avenue,Non-Serviced,Note A-2-1,Non-Control,"$35,000,000",DBR Investments Co. Limited
535 & 545 5th Avenue,Non-Serviced,Note A-2-2,Non-Control,"$15,000,000",BMARK 2026-V22
535 & 545 5th Avenue,Non-Serviced,Note A-3,Non-Control,"$26,000,000",BBCMS 2026-5C40
535 & 545 5th Avenue,Non-Serviced,Note A-4,Non-Control,"$15,000,000",BMARK 2026-V21
535 & 545 5th Avenue,Non-Serviced,Note A-5,Non-Control,"$15,000,000",BMARK 2026-V21
535 & 545 5th Avenue,Non-Serviced,Note A-6,Non-Control,"$10,000,000",BMO 2026-5C14
535 & 545 5th Avenue,Non-Serviced,Note A-7,Non-Control,"$9,000,000",DBR Investments Co. Limited
535 & 545 5th Avenue,Non-Serviced,Note A-8,Non-Control,"$50,000,000",WFCM 2026-5C9
535 & 545 5th Avenue,Non-Serviced,Note A-9,Non-Control,"$15,000,000",BBCMS 2026-5C41
535 & 545 5th Avenue,Non-Serviced,Note A-10,Non-Control,"$20,000,000",SGFC
535 & 545 5th Avenue,Non-Serviced,Note A-11,Non-Control,"$14,000,000",BBCMS 2026-5C40
535 & 545 5th Avenue,Non-Serviced,Note A-12-1,Non-Control,"$6,000,000",SGFC
535 & 545 5th Avenue,Non-Serviced,Note A-12-2,Non-Control,"$5,000,000",BMO 2026-5C14
Mall at Prince George’s,Serviced,Note A-1,Control,"$35,000,000",WFCM 2026-5C9
Mall at Prince George’s,Serviced,Note A-2,Non-Control,"$23,000,000",WFCM 2026-5C9
Mall at Prince George’s,Serviced,Note A-3,Non-Control,"$17,000,000",RREF DLI
Mall at Prince George’s,Serviced,Note A-4,Non-Control,"$15,000,000",Goldman Sachs Bank USA
Mall at Prince George’s,Serviced,Note A-5,Non-Control,"$10,000,000",Goldman Sachs Bank USA
Mountain Industrial Portfolio,Non-Serviced,Note A-1-1 and A-2-1,Control,"$332,760,000",MTN 2026-LPFX
Mountain Industrial Portfolio,Non-Serviced,Note A-1-2 and A-2-2,Non-Control,"$83,190,000",MTN 2026-LPFX
Mountain Industrial Portfolio,Non-Serviced,Note A-1-3 and A-2-3,Non-Control,"$83,190,000",MTN 2026-LPFX
Mountain Industrial Portfolio,Non-Serviced,Note A-1-4 and A-2-4,Non-Control,"$166,380,000",MTN 2026-LPFX
Mountain Industrial Portfolio,Non-Serviced,Note A-1-5 and A-2-5,Non-Control,"$83,190,000",MTN 2026-LPFX
Mountain Industrial Portfolio,Non-Serviced,Note A-1-6 and A-2-6,Non-Control,"$83,190,000",MTN 2026-LPFX
Mountain Industrial Portfolio,Non-Serviced,Note A-3-1-1 and A-4-1-1,Non-Control,"$110,000,000",WFB
Mountain Industrial Portfolio,Non-Serviced,Note A-3-1-2 and A-4-1-2,Non-Control,"$25,000,000",WFCM 2026-5C9
Mountain Industrial Portfolio,Non-Serviced,Note A-3-2-1 and A-4-2-1,Non-Control,"$14,500,000","Bank of America, National Association"
Mountain Industrial Portfolio,Non-Serviced,Note A-3-2-2 and A-4-2-2,Non-Control,"$14,500,000","Bank of America, National Association"
Mountain Industrial Portfolio,Non-Serviced,Note A-3-2-3 and A-4-2-3,Non-Control,"$4,750,000","Bank of America, National Association"
Mountain Industrial Portfolio,Non-Serviced,Note A-3-3 and A-4-3,Non-Control,"$33,750,000",Bank of Montreal
Mountain Industrial Portfolio,Non-Serviced,Note A-3-4 and A-4-4,Non-Control,"$67,500,000",BMARK 2026-V22
Mountain Industrial Portfolio,Non-Serviced,Note A-3-5 and A-4-5,Non-Control,"$33,750,000",Morgan Stanley Mortgage Capital Holdings LLC
Mountain Industrial Portfolio,Non-Serviced,Note A-3-6 and A-4-6,Non-Control,"$33,750,000",UBS AG New York Branch
Mountain Industrial Portfolio,Non-Serviced,,,,
