0,1,2,3,4
,,,,
AART 2019-2,AART 2019-2,AART 2019-2,AART 2019-2,
Vehicle Make,,Percentage of Aggregate Amount Financed,Percentage of Aggregate Amount Financed,
Chevrolet,,,24.02,%
Ford,,,10.94,%
Jeep,,,8.97,%
GMC,,,7.55,%
Ram,,,7.00,%
Toyota,,,5.30,%
Nissan,,,5.08,%
Hyundai,,,4.54,%
Honda,,,4.01,%
Kia,,,4.00,%
,,,,
No other make accounts for more than 3.71% of the Aggregate Amount Financed in the AART 2019-2 pool of receivables.,No other make accounts for more than 3.71% of the Aggregate Amount Financed in the AART 2019-2 pool of receivables.,No other make accounts for more than 3.71% of the Aggregate Amount Financed in the AART 2019-2 pool of receivables.,No other make accounts for more than 3.71% of the Aggregate Amount Financed in the AART 2019-2 pool of receivables.,
