0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Underwriters,,Class A-1  Notes(1),Class A-1  Notes(1),,,Class A-2a  Notes(1),Class A-2a  Notes(1),,,Class A-2b  Notes(1),Class A-2b  Notes(1),,,Class A-3  Notes(1),Class A-3  Notes(1),,,Class A-4  Notes(1),Class A-4  Notes(1),
"BofA Securities, Inc.",,$,●,,,$,●,,,$,●,,,$,●,,,$,●,
BNP Paribas Securities  Corp.,,$,●,,,$,●,,,$,●,,,$,●,,,$,●,
Citigroup Global Markets  Inc.,,$,●,,,$,●,,,$,●,,,$,●,,,$,●,
"U.S. Bancorp Investments, Inc.",,$,●,,,$,●,,,$,●,,,$,●,,,$,●,
"Academy Securities, Inc.",,$,●,,,$,●,,,$,●,,,$,●,,,$,●,
"AmeriVet Securities, Inc.",,$,●,,,$,●,,,$,●,,,$,●,,,$,●,
CIBC World Markets Corp.,,$,●,,,$,●,,,$,●,,,$,●,,,$,●,
J.P. Morgan Securities  LLC,,$,●,,,$,●,,,$,●,,,$,●,,,$,●,
Loop Capital Markets  LLC,,$,●,,,$,●,,,$,●,,,$,●,,,$,●,
"R. Seelaus &  Co., LLC",,$,●,,,$,●,,,$,●,,,$,●,,,$,●,
Total,,$,●,,,$,●,,,$,●,,,$,●,,,$,●,
