0,1,2,3,4,5,6,7,8
,,,,,,,,
,,Initial Principal Amount(1),Initial Principal Amount(1),,,Interest Rate(2),,Final Scheduled Distribution Date
Class A-1 Asset-backed Notes,,$,143000000,,,%,,"March 15, 2027"
Class A-2 Asset-backed Notes,,$,317790000,,,%,,"December 17, 2029"
Class A-3 Asset-backed Notes,,$,107280000,,,%,,"May 17, 2032"
Class B Asset-backed Notes,,$,46540000,,,%,,"May 17, 2032"
Class C Asset-backed Notes,,$,65770000,,,%,,"May 17, 2032"
Class D Asset-backed Notes,,$,53460000,,,%,,"May 17, 2032"
Class E Asset-backed Notes(3),,$,16160000,,,%,,"February 15, 2033"
