0,1,2
Hyundai  Auto Receivables  Trust 2025-D  Issuing  entity,Hyundai  Auto Receivables  Trust 2025-D  Issuing  entity,
"If the aggregate initial principal amount of the notes is $1,500,000,000, the following notes will be issued:","If the aggregate initial principal amount of the notes is $1,500,000,000, the following notes will be issued:",
Class A-1  Notes,"$311,690,000",
Class A-2-A  Notes,$●,
Class A-2-B  Notes,$●,
Class A-3  Notes,"$517,230,000",
Class A-4  Notes,"$80,000,000",
Class B  Notes,"$27,690,000",
Class C  Notes,"$46,160,000",
,,
"If the aggregate initial principal amount of the notes is $1,750,000,000, the following notes will be issued:","If the aggregate initial principal amount of the notes is $1,750,000,000, the following notes will be issued:",
,,
Class  A-1 Notes,"$363,640,000",
Class  A-2-A Notes,$●,
Class  A-2-B Notes,$●,
Class  A-3 Notes,"$603,440,000",
Class  A-4 Notes,"$93,330,000",
Class  B Notes,"$32,310,000",
Class  C Notes,"$53,840,000",
,,
"If the aggregate initial principal amount of the notes is $1,997,330,000, the following notes will be issued:","If the aggregate initial principal amount of the notes is $1,997,330,000, the following notes will be issued:",
,,
Class  A-1 Notes,"$415,000,000",
Class  A-2-A Notes,$●,
Class  A-2-B Notes,$●,
Class  A-3 Notes,"$688,740,000",
Class  A-4 Notes,"$106,520,000",
Class  B Notes,"$36,870,000",
Class  C Notes,"$61,460,000",
