0,1,2,3,4,5,6
Cutoff Date,,"$65,282,581.97",,September 2029,,"$4,629,275.60"
April 2026,,62763762.89,,October 2029,,4157041.13
May 2026,,60305133.77,,November 2029,,3720294.17
June 2026,,57907015.07,,December 2029,,3315904.54
July 2026,,55568912.71,,January 2030,,2941982.89
August 2026,,53290126.94,,February 2030,,2597356.29
September 2026,,51069519.08,,March 2030,,2280477.39
October 2026,,48905835.77,,April 2030,,1989966.30
November 2026,,46798025.90,,May 2030,,1724668.76
December 2026,,44745411.31,,June 2030,,1483800.15
January 2027,,42747658.48,,July 2030,,1266572.83
February 2027,,40804063.63,,August 2030,,1072445.50
March 2027,,38913564.00,,September 2030,,900841.91
April 2027,,37075558.45,,October 2030,,751276.50
May 2027,,35289755.30,,November 2030,,623180.35
June 2027,,33555863.67,,December 2030,,515943.63
July 2027,,31873552.35,,January 2031,,428914.68
August 2027,,30242536.69,,February 2031,,360198.24
September 2027,,28662582.48,,March 2031,,304476.22
October 2027,,27133333.84,,April 2031,,256657.24
November 2027,,25654151.79,,May 2031,,214351.30
December 2027,,24223915.95,,June 2031,,177198.86
January 2028,,22841671.36,,July 2031,,144860.07
February 2028,,21506664.19,,August 2031,,117191.16
March 2028,,20218505.83,,September 2031,,93997.79
April 2028,,18976820.53,,October 2031,,75026.22
May 2028,,17781342.26,,November 2031,,59901.66
June 2028,,16631837.36,,December 2031,,48062.12
July 2028,,15527965.29,,January 2032,,38643.07
August 2028,,14469498.03,,February 2032,,31068.68
September 2028,,13456050.72,,March 2032,,24901.14
October 2028,,12487202.51,,April 2032,,19734.59
November 2028,,11562758.24,,May 2032,,15237.61
December 2028,,10682193.71,,June 2032,,11372.82
January 2029,,9844669.01,,July 2032,,8131.29
February 2029,,9049411.59,,August 2032,,5500.82
March 2029,,8295882.01,,September 2032,,3460.50
April 2029,,7583620.29,,October 2032,,1980.42
May 2029,,6912175.49,,November 2032,,991.89
