0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
,,,,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,
,,,,Total for Month,Total for Month,Total for Month,Total for Month,Total for Month,Total for Month,,,Cumulative,Cumulative,Cumulative,Cumulative,Cumulative,Cumulative,
Month,,Prepayment Speeds,,$,$,,,%,%,,,$,$,,,%,%,
Feb-24,,1.36,,,—,,,,0.000000,%,,,—,,,,0.000000,%
Mar-24,,1.46,,,6605.32,,,,0.000589,%,,,6605.32,,,,0.000589,%
Apr-24,,1.41,,,16999.40,,,,0.001515,%,,,23604.72,,,,0.002104,%
May-24,,1.50,,,466670.17,,,,0.041593,%,,,490274.89,,,,0.043697,%
Jun-24,,1.26,,,431091.16,,,,0.038422,%,,,921366.05,,,,0.082118,%
Jul-24,,1.36,,,377407.81,,,,0.033637,%,,,1298773.86,,,,0.115755,%
Aug-24,,1.41,,,750293.42,,,,0.066871,%,,,2049067.28,,,,0.182626,%
Sep-24,,1.29,,,641828.02,,,,0.057204,%,,,2690895.30,,,,0.239830,%
Oct-24,,1.35,,,479200.09,,,,0.042709,%,,,3170095.39,,,,0.282540,%
Nov-24,,1.21,,,546710.76,,,,0.048726,%,,,3716806.15,,,,0.331266,%
Dec-24,,1.28,,,390758.50,,,,0.034827,%,,,4107564.65,,,,0.366093,%
Jan-25,,1.37,,,651183.02,,,,0.058038,%,,,4758747.67,,,,0.424131,%
Feb-25,,1.23,,,590317.29,,,,0.052613,%,,,5349064.96,,,,0.476744,%
Mar-25,,1.33,,,625006.86,,,,0.055705,%,,,5974071.82,,,,0.532448,%
Apr-25,,1.33,,,229343.41,,,,0.020441,%,,,6203415.23,,,,0.552889,%
May-25,,1.36,,,444310.40,,,,0.039600,%,,,6647725.63,,,,0.592489,%
Jun-25,,1.25,,,506002.30,,,,0.045098,%,,,7153727.93,,,,0.637587,%
Jul-25,,1.37,,,379812.21,,,,0.033851,%,,,7533540.14,,,,0.671439,%
Aug-25,,1.27,,,439838.34,,,,0.039201,%,,,7973378.48,,,,0.710640,%
Sep-25,,1.30,,,610792.93,,,,0.054438,%,,,8584171.41,,,,0.765078,%
Oct-25,,1.36,,,681618.07,,,,0.060750,%,,,9265789.48,,,,0.825828,%
Nov-25,,1.05,,,245272.86,,,,0.021860,%,,,9511062.34,,,,0.847688,%
Dec-25,,1.24,,,462042.66,,,,0.041180,%,,,9973105.00,,,,0.888869,%
Jan-26,,1.21,,,608951.47,,,,0.054274,%,,,10582056.47,,,,0.943142,%
