0,1,2,3,4,5,6
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,UBS AG/WFB,UBS AG/WFB,UBS AG/WFB,,Single Asset/Portfolio:,Single Asset
Credit Assessment (Fitch/MDBRS/Moody’s):,NR/NR/NR,NR/NR/NR,NR/NR/NR,,Location:,"Windsor, CT 06095"
Original Balance(1):,"$50,000,000","$50,000,000","$50,000,000",,General Property Type:,Industrial
Cut-off Date Balance(1):,"$50,000,000","$50,000,000","$50,000,000",,Detailed Property Type:,Warehouse/Distribution
% of Initial Pool Balance:,8.0%,8.0%,8.0%,,Title Vesting:,Fee
Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,2007/NAP
Borrower Sponsor:,"Sycamore Partners Management, L.P.","Sycamore Partners Management, L.P.","Sycamore Partners Management, L.P.",,Size:,"698,574 SF"
Guarantors:,"Sycamore Partners III, L.P. and Sycamore Partners III-A, L.P.","Sycamore Partners III, L.P. and Sycamore Partners III-A, L.P.","Sycamore Partners III, L.P. and Sycamore Partners III-A, L.P.",,Cut-off Date Balance PSF(1):,$100
Mortgage Rate:,6.5520%,6.5520%,6.5520%,,Maturity Balance PSF(1):,$100
Note Date:,9/9/2025,9/9/2025,9/9/2025,,Property Manager:,Self-managed
Maturity Date:,10/6/2030,10/6/2030,10/6/2030,,,
Original Term to Maturity:,60 months,60 months,60 months,,Underwriting and Financial Information,Underwriting and Financial Information
Original Amortization Term:,0 months,0 months,0 months,,UW NOI:,"$7,515,396"
IO Period:,60 months,60 months,60 months,,UW NCF:,"$7,058,901"
Seasoning:,0 months,0 months,0 months,,UW NOI Debt Yield(1):,10.7%
Prepayment Provisions:,"L(12),YM1(41),O(7)","L(12),YM1(41),O(7)","L(12),YM1(41),O(7)",,UW NCF Debt Yield(1):,10.1%
Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,UW NOI Debt Yield at Maturity(1):,10.7%
Additional Debt Type(1):,Pari Passu,Pari Passu,Pari Passu,,UW NCF DSCR(1):,1.52x
Additional Debt Balance(1):,"$20,000,000","$20,000,000","$20,000,000",,Most Recent NOI(4):,NAV
Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NOI(4):,NAV
Reserves(2),Reserves(2),Reserves(2),Reserves(2),,3rd Most Recent NOI(4):,NAV
Type,Initial,Monthly,Cap,,Most Recent Occupancy:,100.0% (10/6/2025)
RE Taxes:,$0,Springing,NAP,,2nd Most Recent Occupancy:,100.0% (12/31/2024)
Insurance:,$0,Springing,NAP,,3rd Most Recent Occupancy:,100.0% (12/31/2023)
Replacement Reserve:,$0,Springing,"$558,859",,Appraised Value (as of):,"$118,800,000 (6/23/2025)"
Other Reserves(3):,$0,Springing,NAP,,Appraised Value per SF:,$170
,,,,,Cut-off Date LTV Ratio(1):,58.9%
,,,,,Maturity Date LTV Ratio(1):,58.9%
