0,1,2,3,4,5,6,7,8,9,10
,,,Initial Principal Amount(2)(3),Initial Principal Amount(2)(3),Initial Principal Amount(2)(3),,,Interest  Rate,,Final  Scheduled Maturity Date
Class A-1 Notes,,,,$,231600000,,,·%,,"August 15, 2025"
Class A-2-A Notes(4),,},,$,488440000,,,·%,,
Class A-2-B Notes(4),,},,$,488440000,,,SOFR  Rate +·%(5),,
Class A-3 Notes,,,,$,455250000,,,·%,,"March 15, 2029"
Class A-4 Notes,,,,$,60710000,,,·%,,"September 16, 2030"
Class B Notes,,,,$,24000000,,,·%,,"September 16, 2030"
Class C Notes,,,,$,40000000,,,·%,,"October 15, 2031"
Total,,,,$,1300000000,,,,,
