0,1,2,3,4,5,6,7,8
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,CREFI,CREFI,CREFI,,Single Asset/Portfolio:,Single Asset,Single Asset
,,,,,,Location:,"Brandywine, MD 20613","Brandywine, MD 20613"
Original Balance(1):,Original Balance(1):,"$16,000,000","$16,000,000","$16,000,000",,General Property Type:,Industrial,Industrial
Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$15,918,416","$15,918,416","$15,918,416",,Detailed Property Type:,Warehouse/Distribution,Warehouse/Distribution
% of Initial Pool Balance:,% of Initial Pool Balance:,2.7%,2.7%,2.7%,,Title Vesting:,Fee,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,1991/2004,1991/2004
Borrower Sponsors:,Borrower Sponsors:,Abdelrahman Ayyad and Sara Ayyad,Abdelrahman Ayyad and Sara Ayyad,Abdelrahman Ayyad and Sara Ayyad,,Size:,"624,502 SF","624,502 SF"
Guarantors:,Guarantors:,Abdelrahman Ayyad and Sara Ayyad,Abdelrahman Ayyad and Sara Ayyad,Abdelrahman Ayyad and Sara Ayyad,,Cut-off Date Balance Per SF:,$121,$121
Mortgage Rate:,Mortgage Rate:,6.6200%,6.6200%,6.6200%,,Maturity Date Balance Per SF:,$96,$96
Note Date:,Note Date:,11/20/2025,11/20/2025,11/20/2025,,Property Manager:,Self-Managed,Self-Managed
Maturity Date:,Maturity Date:,12/6/2035,12/6/2035,12/6/2035,,Property Manager:,Self-Managed,Self-Managed
Term to Maturity:,Term to Maturity:,120 months,120 months,120 months,,Underwriting and Financial Information,Underwriting and Financial Information,Underwriting and Financial Information
Amortization Term:,Amortization Term:,300 months,300 months,300 months,,UW NOI(1):,"$7,996,872","$7,996,872"
IO Period:,IO Period:,0 months,0 months,0 months,,UW NCF(1):,"$7,934,422","$7,934,422"
Seasoning:,Seasoning:,4 months,4 months,4 months,,UW NOI Debt Yield(1):,10.6%,10.6%
Prepayment Provisions:,Prepayment Provisions:,"L(28),D(85),O(7)","L(28),D(85),O(7)","L(28),D(85),O(7)",,UW NCF Debt Yield(1):,10.5%,10.5%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,UW NOI Debt Yield at Maturity(1):,13.3%,13.3%
Additional Debt Type(1):,Additional Debt Type(1):,Pari Passu,Pari Passu,Pari Passu,,UW NCF DSCR(1):,1.27x,
Additional Debt Balance(1):,Additional Debt Balance(1):,"$59,694,060","$59,694,060","$59,694,060",,Most Recent NOI(3):,NAV,NAV
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NO(3):,NAV,NAV
Reserves,Reserves,Reserves,Reserves,Reserves,,3rd Most Recent NOI(3):,NAV,NAV
Type,Initial,Initial,Monthly,,,Most Recent Occupancy:,100.0% (4/1/2026),100.0% (4/1/2026)
RE Taxes:,"$254,365","$254,365","$84,788",NAP,,2nd Most Recent Occupancy(3):,NAV,NAV
Insurance(2):,$0,$0,Springing,NAP,,3rd Most Recent Occupancy(3):,NAV,NAV
Replacement Reserve:,$0,$0,"$5,204",NAP,,Appraised Value (as of):,"$138,300,000 (11/15/2025)","$138,300,000 (11/15/2025)"
TI/LC Reserve:,$0,$0,Springing,NAP,,Appraised Value PSF:,$221,$221
Deferred Maintenance:,"$2,500","$2,500",$0,NAP,,Cut-off Date LTV Ratio(1):,54.7%,54.7%
,,,,,,Maturity Date LTV Ratio(1):,43.6%,43.6%
,,,,,,,,
