0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,WFB,WFB,WFB,,Single Asset/Portfolio:,Single Asset
,,,,,,Location:,"Columbia, SC 29209"
Original Balance:,Original Balance:,"$17,250,000","$17,250,000","$17,250,000",,General Property Type:,Multifamily
Cut-off Date Balance:,Cut-off Date Balance:,"$17,250,000","$17,250,000","$17,250,000",,Detailed Property Type:,Garden
% of Initial Pool Balance:,% of Initial Pool Balance:,2.3%,2.3%,2.3%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,1973/2025
Borrower Sponsor:,Borrower Sponsor:,Emerald City Associates,Emerald City Associates,Emerald City Associates,,Size:,238 Units
Guarantors:,Guarantors:,Michael Garland and Henry Loyd,Michael Garland and Henry Loyd,Michael Garland and Henry Loyd,,Cut-off Date Balance Per Unit:,"$72,479"
,,"Fornes, III","Fornes, III","Fornes, III",,Maturity Date Balance Per Unit:,"$72,479"
Mortgage Rate:,Mortgage Rate:,6.0540%,6.0540%,6.0540%,,Property Manager:,"Green Alpha Property Management,"
Note Date:,Note Date:,1/2/2026,1/2/2026,1/2/2026,,,LLC
Maturity Date:,Maturity Date:,1/11/2031,1/11/2031,1/11/2031,,,
Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,Underwriting and Financial Information,Underwriting and Financial Information
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NOI:,"$1,494,787"
IO Period:,IO Period:,60 months,60 months,60 months,,UW NCF:,"$1,427,433"
Seasoning:,Seasoning:,2 months,2 months,2 months,,UW NOI Debt Yield:,8.7%
Prepayment Provisions:,Prepayment Provisions:,"L(26),D(30),O(4)","L(26),D(30),O(4)","L(26),D(30),O(4)",,UW NCF Debt Yield:,8.3%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Soft/Springing,Soft/Springing,Soft/Springing,,UW NOI Debt Yield at Maturity:,8.7%
Additional Debt Type:,Additional Debt Type:,NAP,NAP,NAP,,UW NCF DSCR:,1.35x
Additional Debt Balance:,Additional Debt Balance:,NAP,NAP,NAP,,Most Recent NOI:,"$1,060,285 (11/30/2025 TTM)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NOI:,NAV(1)
Reserves,Reserves,Reserves,Reserves,Reserves,,3rd Most Recent NOI:,NAV1)
Type,Initial,Initial,Monthly,Cap,,Most Recent Occupancy:,98.7% (12/30/2025)
RE Taxes:,$0,$0,Springing,NAP,,2nd Most Recent Occupancy:,NAV1)
Insurance:,$0,$0,Springing,NAP,,3rd Most Recent Occupancy:,NAV1)
Replacement Reserve:,"$397,875","$397,875","$5,950",NAP,,Appraised Value (as of):,"$30,900,000 (11/19/2025)"
,,,,,,Appraised Value PSF:,"$129,832"
,,,,,,Cut-off Date LTV Ratio:,55.8%
,,,,,,Maturity Date LTV Ratio:,55.8%
,,,,,,,
