0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Class A-2a Notes,Class A-2a Notes,Class A-2a Notes,Class A-2a Notes,Class A-2a Notes,Class A-2a Notes,Class A-2a Notes,Class A-2a Notes,Class A-2a Notes,Class A-2a Notes,Class A-2a Notes
Payment Date,,,0.00%,,0.50%,,1.00%,,1.30%,,1.50%,,1.80%
Closing Date,,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"August 15, 2024",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"September 15, 2024",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"October 15, 2024",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"November 15, 2024",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"December 15, 2024",,,100.00,,100.00,,100.00,,100.00,,100.00,,94.27
"January 15, 2025",,,100.00,,100.00,,100.00,,98.24,,92.88,,84.35
"February 15, 2025",,,100.00,,100.00,,98.28,,90.06,,84.16,,74.64
"March 15, 2025",,,100.00,,100.00,,91.13,,82.09,,75.63,,65.16
"April 15, 2025",,,100.00,,98.89,,84.09,,74.27,,67.26,,55.90
"May 15, 2025",,,100.00,,93.06,,77.15,,66.59,,59.05,,46.87
"June 15, 2025",,,100.00,,87.25,,70.29,,59.04,,51.02,,38.06
"July 15, 2025",,,97.46,,81.47,,63.52,,51.63,,43.15,,29.48
"August 15, 2025",,,92.51,,75.71,,56.85,,44.36,,35.46,,21.13
"September 15, 2025",,,87.54,,69.96,,50.26,,37.22,,27.94,,13.00
"October 15, 2025",,,82.52,,64.25,,43.77,,30.23,,20.60,,5.11
"November 15, 2025",,,77.46,,58.55,,37.37,,23.37,,13.42,,0.00
"December 15, 2025",,,72.41,,52.91,,31.09,,16.68,,6.44,,0.00
"January 15, 2026",,,67.32,,47.30,,24.90,,10.12,,0.00,,0.00
"February 15, 2026",,,62.30,,41.81,,18.89,,3.77,,0.00,,0.00
"March 15, 2026",,,57.25,,36.34,,12.96,,0.00,,0.00,,0.00
"April 15, 2026",,,52.15,,30.89,,7.13,,0.00,,0.00,,0.00
"May 15, 2026",,,47.02,,25.47,,1.39,,0.00,,0.00,,0.00
"June 15, 2026",,,41.85,,20.06,,0.00,,0.00,,0.00,,0.00
"July 15, 2026",,,36.64,,14.68,,0.00,,0.00,,0.00,,0.00
"August 15, 2026",,,31.38,,9.33,,0.00,,0.00,,0.00,,0.00
"September 15, 2026",,,26.09,,3.99,,0.00,,0.00,,0.00,,0.00
"October 15, 2026",,,20.76,,0.00,,0.00,,0.00,,0.00,,0.00
"November 15, 2026",,,15.38,,0.00,,0.00,,0.00,,0.00,,0.00
"December 15, 2026",,,9.97,,0.00,,0.00,,0.00,,0.00,,0.00
"January 15, 2027",,,4.51,,0.00,,0.00,,0.00,,0.00,,0.00
"February 15, 2027",,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
,,,,,,,,,,,,,
Weighted Average Life to Call (Years)(2),,,1.78,,1.47,,1.18,,1.03,,0.94,,0.81
Weighted Average Life to Maturity (Years)(2),,,1.78,,1.47,,1.18,,1.03,,0.94,,0.81
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
