0,1,2,3,4,5,6,7,8,9,10
Certificate  Factor Detail,Certificate  Factor Detail,Certificate  Factor Detail,Certificate  Factor Detail,Certificate  Factor Detail,Certificate  Factor Detail,Certificate  Factor Detail,Certificate  Factor Detail,Certificate  Factor Detail,Certificate  Factor Detail,Certificate  Factor Detail
Class,CUSIP,Beginning  Balance,Principal  Distribution,Interest  Distribution,Interest  Shortfalls / (Paybacks),Cumulative  Interest Shortfalls,Prepayment  Penalties,Realized  Losses,Total  Distribution,Ending  Balance
Regular  Certificates,Regular  Certificates,Regular  Certificates,Regular  Certificates,Regular  Certificates,Regular  Certificates,Regular  Certificates,Regular  Certificates,Regular  Certificates,Regular  Certificates,Regular  Certificates
A-1,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
A-2,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
A-3,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
A-S,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
B,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
C,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
D,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
E,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
F-RR,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
G-RR,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
R,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
,,,,,,,,,,
Notional  Certificates,Notional  Certificates,Notional  Certificates,Notional  Certificates,Notional  Certificates,Notional  Certificates,Notional  Certificates,Notional  Certificates,Notional  Certificates,Notional  Certificates,Notional  Certificates
X-A,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
X-B,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
X-D,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
X-E,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
,,,,,,,,,,
