0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,Class  A-1,Class  A-1,Class  A-1,Class  A-1,Class  A-1,Class  A-1,Class  A-1,Class  A-1,Class  A-1,Class  A-1,Class  A-1,Class  A-1,,,Class  A-2a and A-2b,Class  A-2a and A-2b,Class  A-2a and A-2b,Class  A-2a and A-2b,Class  A-2a and A-2b,Class  A-2a and A-2b,Class  A-2a and A-2b,Class  A-2a and A-2b,Class  A-2a and A-2b,Class  A-2a and A-2b,Class  A-2a and A-2b,Class  A-2a and A-2b
Payment  Date,0.00%,0.00%,0.50%,0.50%,1.00%,1.00%,1.30%,1.30%,1.70%,1.70%,2.00%,2.00%,,,0.00%,0.00%,0.50%,0.50%,1.00%,1.00%,1.30%,1.30%,1.70%,1.70%,2.00%,2.00%
Closing Date,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,100.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
"July 15, 2026",91.42,89.02,89.02,86.26,86.26,84.39,84.39,81.52,81.52,79.01,79.01,,,100.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
"August 15, 2026",83.23,78.52,78.52,73.12,73.12,69.43,69.43,63.81,63.81,58.88,58.88,,,100.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
"September 15, 2026",75.02,68.08,68.08,60.13,60.13,54.71,54.71,46.44,46.44,39.19,39.19,,,100.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
"October 15, 2026",66.74,57.67,57.67,47.28,47.28,40.19,40.19,29.39,29.39,19.92,19.92,,,100.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
"November 15, 2026",58.45,47.33,47.33,34.60,34.60,25.92,25.92,12.70,12.70,1.11,1.11,,,100.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
"December 15, 2026",50.11,37.03,37.03,22.06,22.06,11.87,11.87,0.00,0.00,0.00,0.00,,,100.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.50,97.50,88.22,88.22,
"January 15, 2027",41.75,26.81,26.81,9.71,9.71,0.00,0.00,0.00,0.00,0.00,0.00,,,100.0,100.00,100.00,100.00,100.00,100.00,98.68,98.68,86.59,86.59,75.99,75.99,
"February 15, 2027",33.35,16.63,16.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,100.0,100.00,100.00,100.00,98.30,98.30,89.43,89.43,75.91,75.91,64.07,64.07,
"March 15, 2027",24.86,6.47,6.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,100.0,100.00,100.00,100.00,90.07,90.07,80.31,80.31,65.45,65.45,52.44,52.44,
"April 15, 2027",16.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,100.0,100.00,97.55,97.55,81.97,81.97,71.37,71.37,55.25,55.25,41.13,41.13,
"May 15, 2027",7.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,100.0,100.00,90.72,90.72,73.98,73.98,62.60,62.60,45.28,45.28,30.13,30.13,
"June 15, 2027",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,99.64,99.64,84.03,84.03,66.22,66.22,54.11,54.11,35.71,35.71,19.62,19.62,
"July 15, 2027",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,94.21,94.21,77.71,77.71,58.88,58.88,46.09,46.09,26.67,26.67,9.69,9.69,
"August 15, 2027",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,88.74,88.74,71.41,71.41,51.65,51.65,38.23,38.23,17.86,17.86,0.06,0.06,
"September 15, 2027",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,83.24,83.24,65.14,65.14,44.52,44.52,30.53,30.53,9.29,9.29,0.00,0.00,
"October 15, 2027",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,77.7,77.70,58.91,58.91,37.50,37.50,22.98,22.98,0.96,0.96,0.00,0.00,
"November 15, 2027",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,72.13,72.13,52.70,52.70,30.59,30.59,15.60,15.60,0.00,0.00,0.00,0.00,
"December 15, 2027",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,66.53,66.53,46.53,46.53,23.78,23.78,8.37,8.37,0.00,0.00,0.00,0.00,
"January 15, 2028",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,60.89,60.89,40.39,40.39,17.09,17.09,1.31,1.31,0.00,0.00,0.00,0.00,
"February 15, 2028",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,55.53,55.53,34.56,34.56,10.74,10.74,0.00,0.00,0.00,0.00,0.00,0.00,
"March 15, 2028",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,50.13,50.13,28.76,28.76,4.49,4.49,0.00,0.00,0.00,0.00,0.00,0.00,
"April 15, 2028",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,44.74,44.74,23.02,23.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"May 15, 2028",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,39.32,39.32,17.31,17.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"June 15, 2028",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,33.87,33.87,11.64,11.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"July 15, 2028",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,28.38,28.38,5.99,5.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"August 15, 2028",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,22.85,22.85,0.38,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
