0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2022-3,2022-3,,,2022-4,2022-4,,,2023-1,2023-1,,,2023-2,2023-2,,,2023-3,2023-3,,,2023-4,2023-4,,,2024-1,2024-1,,,2024-2,2024-2,
650 to 699,,,28.26,%,,,27.50,%,,,27.36,%,,,27.08,%,,,26.56,%,,,26.51,%,,,26.67,%,,,26.40,%
700 to 749,,,26.56,%,,,26.22,%,,,24.63,%,,,24.54,%,,,23.80,%,,,23.53,%,,,23.64,%,,,23.33,%
750 to 799,,,22.89,%,,,23.04,%,,,23.58,%,,,23.72,%,,,22.69,%,,,23.06,%,,,22.74,%,,,23.25,%
800 to 849,,,17.01,%,,,17.40,%,,,18.35,%,,,18.70,%,,,19.98,%,,,19.76,%,,,19.72,%,,,19.70,%
850 and above,,,5.28,%,,,5.84,%,,,6.08,%,,,5.97,%,,,6.98,%,,,7.14,%,,,7.23,%,,,7.33,%
