0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2023-1,AART 2023-1,,,AART 2025-1,AART 2025-1,
Weighted Average APR,,,8.68,%,,,9.52,%
Aggregate Amount Financed,,$,1121998940.08,,,$,1121998836.17,
Number of Contracts in Pool,,,50424,,,,58335,
Average Amount Financed,,$,22251.29,,,$,19233.72,
Weighted Average Original Maturity (in Months),,,69.39,,,,70.62,
Weighted Average Remaining Maturity (in Months),,,59.78,,,,53.50,
Percentage of Receivables with Original Maturities > 60 Months,,,78.55,%,,,79.88,%
Percentage of New Vehicles,,,41.58,%,,,40.03,%
Weighted Average FICO Score,,,730.00,,,,734.97,
Weighted Average Loan-to-Value,,,95.54,,,,94.61,
Cutoff Date,,,"June 1, 2023",,,,"September 1, 2025",
