0,1,2,3,4,5,6,7,8,9,10
Notes(1),,Initial Note  Balance,,Interest Rate,,Accrual  Method,,Anticipated  Redemption Date,,Final  Maturity Date
Class A notes,,"$445,504,000",,4.28%,,30/360,,"October 21, 2030",,"October 20, 2033"
Class B notes,,"$34,060,000",,4.54%,,30/360,,"October 21, 2030",,"October 20, 2033"
Class C notes,,"$20,436,000",,4.67%,,30/360,,"October 21, 2030",,"October 20, 2033"
Total,,"$500,000,000",,,,,,,,
