0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2023-1,AART 2023-1,,,AART 2026-1,AART 2026-1,
Weighted Average APR,,,8.68,%,,,9.10,%
Aggregate Amount Financed,,$,1121998940.08,,,$,1121938434.96,
Number of Contracts in Pool,,,50424,,,,59907,
Average Amount Financed,,$,22251.29,,,$,18728.00,
Weighted Average Original Maturity (in Months),,,69.39,,,,70.39,
Weighted Average Remaining Maturity (in Months),,,59.78,,,,53.46,
Percentage of Receivables with Original Maturities > 60 Months,,,78.55,%,,,80.01,%
Percentage of New Vehicles,,,41.58,%,,,40.02,%
Weighted Average FICO Score,,,730.00,,,,734.12,
Weighted Average Loan-to-Value,,,95.54,,,,94.27,
Cutoff Date,,,"June 1, 2023",,,,"February 1, 2026",
