0,1,2,3,4
Aggregate Starting Principal Balance,,,"$1,039,208,826.00",
Weighted Average Contract Rate(1),,,6.67,%
Range of Contract Rates,,,0.00% to 20.00%,
Weighted Average Remaining Term to Maturity(1),,,62.37 months,
Weighted Average Original Term to Maturity(1),,,68.11 months,
Latest Scheduled Maturity Date,,,"October 1, 2030",
