0,1,2,3,4,5,6,7
Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,,Property  Information,Property  Information
Mortgage Loan Seller:,Mortgage Loan Seller:,Mortgage Loan Seller:,BSPRT,BSPRT,,Single Asset/Portfolio:,Portfolio
,,,,,,Location:,"Owings Mills, MD 21117"
Original Balance(1):,Original Balance(1):,Original Balance(1):,"$25,000,000","$25,000,000",,General Property Type:,Multifamily
Cut-off Date Balance(1):,Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$25,000,000","$25,000,000",,Detailed Property Type:,Mid Rise
% of Initial Pool Balance:,% of Initial Pool Balance:,% of Initial Pool Balance:,3.6%,3.6%,,Title Vesting:,Leasehold
Loan Purpose:,Loan Purpose:,Loan Purpose:,Refinance,Refinance,,Year Built/Renovated:,Various/NAP
Borrower Sponsor:,Borrower Sponsor:,Borrower Sponsor:,Howard S. Brown,Howard S. Brown,,Size:,341 Units
Guarantor:,Guarantor:,Guarantor:,Howard S. Brown,Howard S. Brown,,Cut-off Date Balance Per Unit(1):,"$195,015"
Mortgage Rate:,Mortgage Rate:,Mortgage Rate:,6.5800%,6.5800%,,Maturity Date Balance Per SF(1):,"$195,015"
Note Date:,Note Date:,Note Date:,9/9/2025,9/9/2025,,Property Manager:,"David S. Brown Enterprises, Ltd."
Maturity Date:,Maturity Date:,Maturity Date:,10/6/2035,10/6/2035,,,
Term to Maturity:,Term to Maturity:,Term to Maturity:,120 months,120 months,,Underwriting  and Financial Information,Underwriting  and Financial Information
Amortization Term:,Amortization Term:,Amortization Term:,0 months,0 months,,UW NOI:,"$5,630,782"
IO Period:,IO Period:,IO Period:,120 months,120 months,,UW NCF:,"$5,545,532"
Seasoning:,Seasoning:,Seasoning:,0 months,0 months,,UW NOI Debt Yield(1):,8.5%
Prepayment Provisions:,Prepayment Provisions:,Prepayment Provisions:,"L(24),D(92),O(4)","L(24),D(92),O(4)",,UW NCF Debt Yield(1):,8.3%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Springing/Springing,Springing/Springing,,UW NOI Debt Yield at Maturity(1):,8.5%
Additional Debt Type:,Additional Debt Type:,Additional Debt Type:,Pari Passu,Pari Passu,,UW NCF DSCR(1):,1.25x
Additional Debt Balance:,Additional Debt Balance:,Additional Debt Balance:,"$41,500,000","$41,500,000",,Most Recent NOI(2)(3):,"$5,327,046 (7/31/2025 TTM)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),,2nd Most Recent NOI(3):,"$4,000,064 (12/31/2024)"
,,,,,,3rd Most Recent NOI(3):,"$1,975,553 (12/31/2023)"
,,,,,,Most Recent Occupancy:,94.4% (9/2/2025)
Reserves,Reserves,Reserves,Reserves,Reserves,,2nd Most Recent Occupancy:,92.3% (12/31/2024)
Type,Initial,Monthly,Monthly,Cap,,3rd Most Recent Occupancy:,67.2% (12/31/2023)
RE Taxes:,"$155,324","$77,662","$77,662",NAP,,Appraised Value (as of):,"$104,100,000 (6/27/2025)"
Insurance:,$0,Springing,Springing,NAP,,Appraised Value Per SF:,"$305,279"
Replacement Reserves:,$0,"$7,104","$7,104","$250,000",,Cut-off Date LTV Ratio(1):,63.9%
Ground Rent Reserves:,"$15,638",Springing,Springing,NAP,,Maturity Date LTV Ratio(1):,63.9%
,,,,,,,
,,,,,,,
