0,1,2,3,4,5,6
Payment Date,,Yield Supplement Overcollateralization Amount,,Payment Date,,Yield Supplement Overcollateralization Amount
Closing Date,,"$126,245,966.81",,February 2027,,"$19,260,168.86"
May 2024,,117543767.95,,March 2027,,17682957.48
June 2024,,113304707.35,,April 2027,,16187579.62
July 2024,,109141587.04,,May 2027,,14773714.70
August 2024,,105055353.50,,June 2027,,13440463.89
September 2024,,101045669.70,,July 2027,,12186352.84
October 2024,,97112578.49,,August 2027,,11010122.81
November 2024,,93255863.63,,September 2027,,9909702.00
December 2024,,89475327.89,,October 2027,,8882695.32
January 2025,,85771010.39,,November 2027,,7926168.93
February 2025,,82143220.87,,December 2027,,7036235.34
March 2025,,78592406.45,,January 2028,,6210056.67
April 2025,,75119004.23,,February 2028,,5446445.86
May 2025,,71723483.64,,March 2028,,4744040.61
June 2025,,68406364.94,,April 2028,,4101792.64
July 2025,,65168082.11,,May 2028,,3518492.67
August 2025,,62009184.41,,June 2028,,2992518.09
September 2025,,58930042.12,,July 2028,,2521792.09
October 2025,,55930960.54,,August 2028,,2104123.44
November 2025,,53012481.49,,September 2028,,1736425.20
December 2025,,50175082.60,,October 2028,,1415362.20
January 2026,,47419382.50,,November 2028,,1137428.84
February 2026,,44746086.29,,December 2028,,897815.65
March 2026,,42155835.25,,January 2029,,692410.78
April 2026,,39649236.52,,February 2029,,518827.76
May 2026,,37226979.48,,March 2029,,374252.23
June 2026,,34889730.73,,April 2029,,256686.72
July 2026,,32638000.63,,May 2029,,164620.60
August 2026,,30472166.37,,June 2029,,96144.34
September 2026,,28392098.56,,July 2029,,48949.12
October 2026,,26397535.73,,August 2029,,19990.10
November 2026,,24487852.42,,September 2029,,5215.68
December 2026,,22662095.93,,October 2029,,0.00
January 2027,,20919684.79,,November 2029,,0.00
,,,,,,
,,,,,,
