0,1,2,3,4,5,6
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,WFB,WFB,WFB,,Single Asset/Portfolio:,Single Asset
,,,,,Location:,"Greensboro, NC 27401"
Original Balance:,"$42,000,000","$42,000,000","$42,000,000",,General Property Type:,Hospitality
Cut-off Date Balance:,"$41,850,141","$41,850,141","$41,850,141",,Detailed Property Type:,Full Service
% of Initial Pool Balance:,6.1%,6.1%,6.1%,,Title Vesting:,Fee
Loan Purpose:,Recapitalization,Recapitalization,Recapitalization,,Year Built/Renovated:,1983/2020
Borrower Sponsors(1):,Various,Various,Various,,Size:,285 Rooms
Guarantor:,"CSC Holdings, LLC","CSC Holdings, LLC","CSC Holdings, LLC",,Cut-off Date Balance Per Room:,"$146,843"
Mortgage Rate:,6.6420%,6.6420%,6.6420%,,Maturity Date Balance Per Room:,"$116,925"
Note Date:,7/9/2025,7/9/2025,7/9/2025,,Property Manager:,"Crestview Management, LLC"
Maturity Date:,7/11/2035,7/11/2035,7/11/2035,,,(borrower-related)
Term to Maturity:,120 months,120 months,120 months,,,
Amortization Term:,300 months,300 months,300 months,,Underwriting and Financial Information,Underwriting and Financial Information
IO Period:,0 months,0 months,0 months,,UW NOI:,"$7,619,559"
Seasoning:,3 months,3 months,3 months,,UW NCF:,"$6,909,327"
Prepayment Provisions:,"L(27),D(86),O(7)","L(27),D(86),O(7)","L(27),D(86),O(7)",,UW NOI Debt Yield:,18.2%
Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,UW NCF Debt Yield:,16.5%
Additional Debt Type:,NAP,NAP,NAP,,UW NOI Debt Yield at Maturity:,22.9%
Additional Debt Balance:,NAP,NAP,NAP,,UW NCF DSCR:,2.00x
Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,Most Recent NOI:,"$7,599,129 (5/31/2025 TTM)"
Reserves(2),Reserves(2),Reserves(2),Reserves(2),,2nd Most Recent NOI:,"$7,403,523 (12/31/2024)"
Type,Initial,Monthly,Cap,,3rd Most Recent NOI:,"$8,320,328 (12/31/2023)"
RE Taxes:,"$437,898","$39,809",NAP,,Most Recent Occupancy:,66.3% (5/31/2025)
Insurance:,$0,Springing,NAP,,2nd Most Recent Occupancy:,66.1% (12/31/2024)
FF&E Reserve:,$0,"$59,186",NAP,,3rd Most Recent Occupancy:,66.4% (12/31/2023)
Seasonality Reserve:,"$470,000",Springing,"$470,000",,Appraised Value (as of):,"$83,300,000 (5/21/2025)"
Replacement Comfort Letter Reserve:,"$2,500",$0,NAP,,Appraised Value Per Room:,"$292,281"
PIP Reserve:,$0,Springing,NAP,,Cut-off Date LTV Ratio:,50.2%
,,,,,Maturity Date LTV Ratio:,40.0%
