0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution Date,,0.00%,0.00%,,,0.50%,0.50%,,,0.90%,0.90%,,,1.10%,1.10%,,,1.30%,1.30%,,,1.50%,1.50%,,,1.80%,1.80%,
Closing Date,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
11/15/25,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
12/15/25,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
01/15/26,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
02/15/26,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,89.85,%
03/15/26,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,96.82,%,,,76.72,%
04/15/26,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,94.64,%,,,84.78,%,,,64.35,%
05/15/26,,,100.00,%,,,100.00,%,,,99.59,%,,,92.37,%,,,83.89,%,,,73.12,%,,,52.37,%
06/15/26,,,100.00,%,,,100.00,%,,,90.44,%,,,82.58,%,,,73.41,%,,,61.86,%,,,40.79,%
07/15/26,,,100.00,%,,,95.80,%,,,81.41,%,,,72.97,%,,,63.19,%,,,51.00,%,,,29.84,%
08/15/26,,,100.00,%,,,87.85,%,,,72.50,%,,,63.55,%,,,53.24,%,,,40.53,%,,,19.49,%
09/15/26,,,97.05,%,,,79.92,%,,,63.71,%,,,54.32,%,,,43.57,%,,,30.48,%,,,9.44,%
10/15/26,,,90.06,%,,,72.03,%,,,55.06,%,,,45.28,%,,,34.17,%,,,20.87,%,,,0.00,%
11/15/26,,,83.01,%,,,64.17,%,,,46.52,%,,,36.43,%,,,25.05,%,,,11.74,%,,,0.00,%
12/15/26,,,75.92,%,,,56.34,%,,,38.12,%,,,27.77,%,,,16.21,%,,,3.00,%,,,0.00,%
01/15/27,,,68.77,%,,,48.55,%,,,29.85,%,,,19.31,%,,,7.66,%,,,0.00,%,,,0.00,%
02/15/27,,,61.60,%,,,40.82,%,,,21.74,%,,,11.07,%,,,0.00,%,,,0.00,%,,,0.00,%
03/15/27,,,56.04,%,,,34.59,%,,,14.92,%,,,3.95,%,,,0.00,%,,,0.00,%,,,0.00,%
04/15/27,,,50.43,%,,,28.38,%,,,8.20,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
05/15/27,,,44.79,%,,,22.20,%,,,1.56,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
06/15/27,,,39.10,%,,,16.03,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
07/15/27,,,33.36,%,,,9.90,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
08/15/27,,,27.58,%,,,3.78,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
09/15/27,,,21.75,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
10/15/27,,,15.88,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
11/15/27,,,9.96,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
12/15/27,,,4.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
01/15/28,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
Weighted Average Life (Years) to Call,,,1.56,,,,1.30,,,,1.10,,,,1.01,,,,0.91,,,,0.81,,,,0.65,
Weighted Average Life (Years) to Maturity,,,1.56,,,,1.30,,,,1.10,,,,1.01,,,,0.91,,,,0.81,,,,0.65,
