0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,WFB,WFB,WFB,,Single Asset/Portfolio:,Single Asset
,,,,,,Location:,"Sioux Falls, SD 57106"
Original Balance(1):,Original Balance(1):,"$20,000,000","$20,000,000","$20,000,000",,General Property Type:,Retail
Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$20,000,000","$20,000,000","$20,000,000",,Detailed Property Type:,Super Regional Mall
% of Initial Pool Balance:,% of Initial Pool Balance:,2.6%,2.6%,2.6%,,Title Vesting:,Fee/Leasehold
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,1974/2013
Borrower Sponsor:,Borrower Sponsor:,"Simon Property Group, L.P.","Simon Property Group, L.P.","Simon Property Group, L.P.",,Size:,"1,024,394 SF"
Guarantor:,Guarantor:,"Simon Property Group, L.P.","Simon Property Group, L.P.","Simon Property Group, L.P.",,Cut-off Date Balance PSF(1):,$117
Mortgage Rate:,Mortgage Rate:,6.7160%,6.7160%,6.7160%,,Maturity Date Balance PSF(1):,$117
Note Date:,Note Date:,10/1/2025,10/1/2025,10/1/2025,,Property Manager:,"Simon Management Associates,"
Maturity Date:,Maturity Date:,10/1/2030,10/1/2030,10/1/2030,,,LLC (borrower-related)
Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,,
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,Underwriting  and Financial Information,Underwriting  and Financial Information
IO Period:,IO Period:,60 months,60 months,60 months,,UW NOI (2):,"$19,837,440"
Seasoning:,Seasoning:,5 months,5 months,5 months,,UW NCF:,"$18,331,837"
Prepayment Provisions:,Prepayment Provisions:,"L(29),D(24),O(7)","L(29),D(24),O(7)","L(29),D(24),O(7)",,UW NOI Debt Yield(1):,16.5%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,UW NCF Debt Yield(1):,15.3%
Additional Debt Type(1):,Additional Debt Type(1):,Pari Passu,Pari Passu,Pari Passu,,UW NOI Debt Yield at Maturity(1):,16.5%
Additional Debt Balance(1):,Additional Debt Balance(1):,100000000,100000000,100000000,,UW NCF DSCR(1):,2.24x
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,Most Recent NOI(2):,"$18,061,764 (8/31/2025 TTM)"
Reserves,Reserves,Reserves,Reserves,Reserves,,2nd Most Recent NOI:,"$18,000,096 (12/31/2024)"
Type,Initial,Initial,Monthly,Cap,,3rd Most Recent NOI:,"$17,161,886 (12/31/2023)"
RE Taxes:,$0,$0,Springing(4),NAP,,Most Recent Occupancy:,87.2% (9/4/2025)
Insurance:,$0,$0,Springing(5),NAP,,2nd Most Recent Occupancy:,95.0% (12/31/2024)
Replacement Reserve:,$0,$0,Springing(6),NAP,,3rd Most Recent Occupancy:,89.0% (12/31/2023)
TI/LC Reserve:,$0,$0,"$69,246","$3,323,820",,Appraised Value (as of):,"$202,000,000 (6/26/2025)"
Outstanding TI/LC Reserve:,$0(3),$0(3),$0,NAP,,Appraised Value PSF:,$197
Gap Rent Reserve:,"$992,738","$992,738",$0,NAP,,Cut-off Date LTV Ratio(1):,59.4%
,,,,,,Maturity Date LTV Ratio(1):,59.4%
,,,,,,,
