0,1,2,3,4
Birch  Run Premium Outlets Whole Loan Summary,Birch  Run Premium Outlets Whole Loan Summary,Birch  Run Premium Outlets Whole Loan Summary,Birch  Run Premium Outlets Whole Loan Summary,Birch  Run Premium Outlets Whole Loan Summary
Note,Original  Balance,Cut-off  Date Balance,Note  Holder,Controlling  Piece
A-1,"$36,500,000","$36,500,000",BMO 2026-C14,Yes
A-2-1,"$10,000,000","$10,000,000",WFCM 2026-C66,No
A-2-2(1),"$7,000,000","$7,000,000",BMO,No
A-3(1),"$6,500,000","$6,500,000",BMO,No
A-4,"$18,500,000","$18,500,000",BMO 2026-C14,No
A-5-1,"$5,000,000","$5,000,000",WFCM 2026-C66,No
A-5-2(1),"$3,000,000","$3,000,000",NREC,No
A-6(1),"$3,500,000","$3,500,000",NREC,No
Whole Loan,"$90,000,000","$90,000,000",,
