0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
AART 2019-2,AART 2019-2,AART 2019-2,AART 2019-2,,,AART 2024-1,AART 2024-1,AART 2024-1,AART 2024-1,
Vehicle Make,,Percentage of Aggregate Amount Financed,Percentage of Aggregate Amount Financed,,,Vehicle Make,,Percentage of Aggregate Amount Financed,Percentage of Aggregate Amount Financed,
Chevrolet,,,24.02,%,,Chevrolet,,,17.31,%
Ford,,,10.94,%,,Ford,,,12.63,%
Jeep,,,8.97,%,,Jeep,,,9.28,%
GMC,,,7.55,%,,Ram,,,7.99,%
Ram,,,7.00,%,,Toyota-Scion,,,6.63,%
Toyota,,,5.30,%,,GMC,,,6.13,%
Nissan,,,5.08,%,,Honda,,,4.06,%
Hyundai,,,4.54,%,,Nissan,,,3.82,%
Honda,,,4.01,%,,Kia,,,3.15,%
Kia,,,4.00,%,,Dodge,,,2.83,%
