0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2019-1,AART 2019-1,,,AART 2026-1,AART 2026-1,
Weighted Average APR,,,6.93,%,,,9.10,%
Aggregate Amount Financed,,$,1119999920.35,,,$,1121938434.96,
Number of Contracts in Pool,,,66201,,,,59907,
Average Amount Financed,,$,16918.17,,,$,18728.00,
Weighted Average Original Maturity (in Months),,,66.13,,,,70.39,
Weighted Average Remaining Maturity (in Months),,,56.69,,,,53.46,
Percentage of Receivables with Original Maturities > 60 Months,,,67.96,%,,,80.01,%
Percentage of New Vehicles,,,70.33,%,,,40.02,%
Weighted Average FICO Score,,,735.05,,,,734.12,
Weighted Average Loan-to-Value,,,93.39,,,,94.27,
Cutoff Date,,,"January 1, 2019",,,,"February 1, 2026",
