0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SDART 2022-4,,SDART 2022-3,,SDART 2022-2,,SDART 2022-1,,SDART 2021-4,,SDART 2021-3,,SDART 2021-2,,SDART 2021-1,,SDART 2020-4,,SDART 2020-3,,SDART 2020-2,,SDART 2020-1,,SDART 2019-3,,SDART 2019-2,,SDART 2019-1
Current Principal Balance (% of  Aggregate Principal Balance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$0.01 - $5,000.00",,0.68%,,0.56%,,0.97%,,0.87%,,0.71%,,0.95%,,0.99%,,0.65%,,0.24%,,0.51%,,1.49%,,0.23%,,0.86%,,0.55%,,0.61%
"$5,000.01 - $10,000.00",,2.73%,,3.16%,,2.96%,,3.26%,,2.80%,,4.18%,,3.39%,,2.61%,,2.28%,,2.99%,,4.75%,,3.88%,,6.58%,,4.70%,,5.00%
"$10,000.01 - $15,000.00",,4.90%,,6.47%,,4.26%,,5.43%,,5.49%,,9.24%,,8.66%,,7.91%,,8.09%,,9.85%,,11.73%,,11.96%,,14.58%,,12.55%,,11.23%
"$15,000.01 - $20,000.00",,9.75%,,11.66%,,9.82%,,10.88%,,11.86%,,15.53%,,17.16%,,16.61%,,16.17%,,17.51%,,17.62%,,18.46%,,18.27%,,17.35%,,16.10%
"$20,000.01 - $25,000.00",,15.80%,,16.57%,,16.80%,,16.34%,,17.71%,,17.87%,,19.09%,,18.46%,,17.94%,,18.44%,,17.05%,,18.74%,,16.55%,,16.66%,,16.49%
"$25,000.01 - $30,000.00",,18.15%,,18.00%,,18.61%,,17.78%,,17.10%,,16.10%,,16.93%,,16.36%,,16.03%,,16.32%,,15.52%,,17.52%,,13.82%,,14.68%,,14.93%
"$30,000.01 - $35,000.00",,16.52%,,15.09%,,17.08%,,15.99%,,14.57%,,13.02%,,13.54%,,13.37%,,13.07%,,12.57%,,11.49%,,12.11%,,10.15%,,10.86%,,11.13%
"$35,000.01 - $40,000.00",,12.68%,,11.66%,,13.34%,,12.79%,,11.95%,,10.03%,,10.27%,,10.04%,,11.59%,,9.51%,,8.90%,,8.93%,,7.69%,,8.88%,,9.55%
"$40,000.01 - $45,000.00",,7.85%,,7.59%,,8.49%,,8.20%,,8.54%,,6.42%,,5.53%,,6.35%,,6.80%,,5.65%,,5.12%,,4.50%,,5.23%,,6.16%,,6.29%
"$45,000.01 - $50,000.00",,4.26%,,4.29%,,4.40%,,4.46%,,4.73%,,3.53%,,2.36%,,3.61%,,3.53%,,3.18%,,2.86%,,1.86%,,2.80%,,3.40%,,3.69%
"$50,000.01 and greater",,6.69%,,4.96%,,3.28%,,4.00%,,4.54%,,3.13%,,2.08%,,4.03%,,4.26%,,3.48%,,3.46%,,1.82%,,3.47%,,4.20%,,4.96%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Mileage (% of Aggregate  Principal Balance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0 - 5,000",,27.98%,,30.26%,,24.56%,,22.93%,,24.42%,,31.88%,,33.57%,,36.75%,,37.30%,,37.89%,,39.73%,,39.86%,,42.51%,,42.02%,,49.56%
"5,001 - 10,000",,2.65%,,2.63%,,2.83%,,2.93%,,2.93%,,2.39%,,2.22%,,2.34%,,2.34%,,2.28%,,2.05%,,2.17%,,1.90%,,2.20%,,2.02%
"10,001 - 15,000",,3.54%,,3.37%,,3.55%,,3.59%,,3.51%,,2.96%,,2.97%,,2.93%,,2.93%,,3.16%,,2.87%,,2.95%,,2.83%,,2.89%,,2.58%
"15,001 - 20,000",,4.30%,,3.94%,,4.29%,,4.44%,,4.64%,,3.90%,,4.01%,,3.96%,,3.85%,,3.95%,,3.83%,,3.84%,,3.53%,,3.92%,,3.36%
"20,001 - 25,000",,4.93%,,4.62%,,4.88%,,5.17%,,5.33%,,4.80%,,4.86%,,4.63%,,4.62%,,4.75%,,4.27%,,4.16%,,4.09%,,4.64%,,3.69%
"25,001 - 30,000",,5.29%,,5.11%,,5.61%,,5.68%,,6.15%,,5.71%,,5.85%,,5.65%,,5.73%,,5.52%,,4.90%,,4.72%,,4.66%,,4.83%,,4.03%
"30,001 - 35,000",,5.36%,,5.46%,,5.74%,,6.12%,,6.57%,,6.52%,,6.95%,,6.71%,,6.71%,,6.53%,,5.63%,,5.52%,,5.28%,,5.35%,,4.41%
"35,001 - 40,000",,5.15%,,5.01%,,5.48%,,5.89%,,6.20%,,6.40%,,6.85%,,6.62%,,6.37%,,6.27%,,5.93%,,5.89%,,5.46%,,5.42%,,4.39%
"40,001 - 45,000",,4.89%,,5.04%,,5.17%,,5.44%,,5.63%,,5.83%,,5.98%,,5.52%,,5.45%,,5.44%,,5.41%,,5.98%,,5.03%,,5.46%,,4.64%
"45,001 - 50,000",,4.92%,,4.66%,,5.02%,,5.14%,,5.05%,,4.73%,,4.67%,,4.26%,,4.08%,,4.15%,,4.33%,,4.68%,,4.14%,,4.47%,,4.06%
"50,001 and above",,30.98%,,29.92%,,32.88%,,32.66%,,29.58%,,24.88%,,22.08%,,20.62%,,20.60%,,20.06%,,21.06%,,20.23%,,20.57%,,18.80%,,17.27%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loan Funded Score (% of Aggregate  Principal Balance)(11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450 and lower,,7.03%,,7.69%,,8.89%,,10.73%,,9.54%,,10.42%,,9.53%,,10.60%,,10.91%,,11.40%,,11.38%,,10.70%,,11.01%,,9.08%,,11.93%
451 - 500,,25.07%,,23.48%,,22.21%,,21.46%,,24.04%,,22.42%,,22.93%,,21.90%,,22.56%,,21.92%,,25.69%,,26.65%,,23.01%,,23.02%,,22.82%
501 - 550,,32.01%,,32.00%,,32.61%,,30.72%,,30.21%,,30.87%,,30.51%,,30.07%,,30.42%,,30.55%,,25.61%,,27.25%,,27.76%,,32.49%,,29.72%
551 - 600,,21.22%,,21.68%,,21.37%,,21.41%,,21.47%,,21.22%,,20.96%,,20.45%,,19.98%,,19.06%,,21.03%,,20.61%,,19.85%,,22.48%,,21.38%
601 - 650,,7.63%,,7.61%,,7.76%,,7.61%,,7.89%,,9.99%,,10.12%,,10.31%,,9.27%,,9.12%,,7.17%,,6.12%,,9.56%,,9.30%,,9.18%
651 - 700,,4.30%,,4.37%,,4.49%,,4.93%,,4.00%,,3.19%,,3.65%,,3.50%,,3.08%,,3.78%,,3.80%,,5.03%,,4.14%,,2.46%,,3.22%
701 - 750,,1.67%,,1.85%,,1.72%,,1.83%,,1.40%,,1.18%,,1.35%,,1.39%,,1.41%,,1.91%,,2.37%,,1.11%,,2.43%,,0.73%,,1.07%
751+,,1.08%,,1.32%,,0.94%,,1.31%,,1.45%,,0.71%,,0.95%,,1.78%,,2.38%,,2.27%,,2.95%,,2.52%,,2.25%,,0.44%,,0.68%
