0,1,2,3,4
U-Haul  AREC RW Portfolio Whole Loan Summary,U-Haul  AREC RW Portfolio Whole Loan Summary,U-Haul  AREC RW Portfolio Whole Loan Summary,U-Haul  AREC RW Portfolio Whole Loan Summary,U-Haul  AREC RW Portfolio Whole Loan Summary
Note,Original  Balance,Cut-off  Date Balance,Note  Holder,Controlling  Note
A-1-1,"$58,000,000","$57,558,694",BMO 2026-C14,Yes
A-1-2,"$2,000,000","$1,984,783",Benchmark 2026-B42,No
A-2-1,"$20,000,000","$19,847,825",WFCM 2026-C66,No
A-2-2,"$4,000,000","$3,969,565",Benchmark 2026-B42,No
A-3,"$15,000,000","$14,885,869",WFCM 2026-C66,No
A-4,"$5,000,000","$4,961,956",BMO 2026-C14,No
Whole Loan,"$104,000,000","$103,208,692",,
