0,1,2,3,4,5
State(5),,,Percentage  of  Total Principal  Balance,Percentage  of  Total Principal  Balance,
California,,,,11.65,%
Texas,,,,11.09,%
Florida,,,,9.40,%
Illinois,,,,5.29,%
