0,1,2,3,4
Aggregate Starting Principal Balance,,$,1302934912.86,
Weighted Average Contract Rate(1),,,6.30,%
Range of Contract Rates,,,0.00% to 20.00%,
Weighted Average Remaining Term to Maturity(1),,,61.64 months,
Weighted  Average Original Term to Maturity(1),,,68.28 months,
Latest Scheduled Maturity Date,,,"October 12, 2031",
