0,1,2
Hyundai  Auto Receivables  Trust 2025-C  Issuing  entity,Hyundai  Auto Receivables  Trust 2025-C  Issuing  entity,
"If the aggregate initial principal amount of the notes is $1,502,920,000, the following notes will be issued:","If the aggregate initial principal amount of the notes is $1,502,920,000, the following notes will be issued:",
Class A-1  Notes,"$310,000,000",
Class A-2-A  Notes,$●,
Class A-2-B  Notes,$●,
Class A-3  Notes,"$521,680,000",
Class A-4  Notes,"$75,570,000",
Class B  Notes,"$27,750,000",
Class C  Notes,"$46,240,000",
,,
"If the aggregate initial principal amount of the notes is $1,753,410,000, the following notes will be issued:","If the aggregate initial principal amount of the notes is $1,753,410,000, the following notes will be issued:",
,,
Class  A-1 Notes,"$362,000,000",
Class  A-2-A Notes,$●,
Class  A-2-B Notes,$●,
Class  A-3 Notes,"$608,620,000",
Class  A-4 Notes,"$87,850,000",
Class  B Notes,"$32,370,000",
Class  C Notes,"$53,950,000",
,,
"If the aggregate initial principal amount of the notes is $1,987,850,000, the following notes will be issued:","If the aggregate initial principal amount of the notes is $1,987,850,000, the following notes will be issued:",
,,
Class  A-1 Notes,"$410,000,000",
Class  A-2-A Notes,$●,
Class  A-2-B Notes,$●,
Class  A-3 Notes,"$690,000,000",
Class  A-4 Notes,"$99,990,000",
Class  B Notes,"$36,700,000",
Class  C Notes,"$61,160,000",
