0,1,2
Number of receivables,,73534
Average principal balance,,"$23,491.24"
Range of principal balances,,"$1,001.02 to $77,937.79"
Weighted average annual percentage rate(1),,4.97%
Range of annual percentage rates,,0.74% to 22.99%
Weighted average original term to maturity(1),,61.93 months
Range of original terms to maturity,,24 months to 72 months
Weighted average remaining term to maturity(1),,49.40 months
Range of remaining terms to maturity,,7 months to 70 months
Percentage of aggregate principal balance of receivables for new/used vehicles,,86.03%/13.97%
