0,1,2,3,4,5,6,7,8
,,,,,,,,
Class,,Initial Note Principal Amount(1)(2),Initial Note Principal Amount(1)(2),,,Interest Rate,,Final Scheduled Payment Date
Class A-2 Notes,,$,442940000,,,%,,"July 15, 2027"
Class A-3 Notes,,,312410000,,,%,,"January 16, 2029"
Class B Notes,,,167680000,,,%,,"September 17, 2029"
Class C Notes,,,142880000,,,%,,"April 15, 2030"
Class D Notes,,,151640000,,,%,,"December 15, 2031"
