0,1,2,3,4
,,Fair Value  (in millions),,Fair Value  (as a percentage of the aggregate fair value of the Notes and Certificates)
Class A-1 Notes,,$156.2,,12.5%
Class A-2a Notes,,$185.0,,14.8%
Class A-2b Notes,,$185.0,,14.8%
Class A-3 Notes,,$369.9,,29.6% - 29.7%
Class A-4 Notes,,$104.0,,8.3%
Certificates,,$246.5 - $247.9,,19.8% - 19.9%
Total,,"$1,246.5 - $1,247.9",,100.0%
