0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2022-1,AART 2022-1,,,AART 2024-1,AART 2024-1,
Weighted Average APR,,,6.56,%,,,9.62,%
Aggregate Amount Financed,,$,1084569770.68,,,$,1121999935.31,
Number of Contracts in Pool,,,59861,,,,59162,
Average Amount Financed,,$,18118.14,,,$,18964.88,
Weighted Average Original Maturity (in Months),,,69.93,,,,70.97,
Weighted Average Remaining Maturity (in Months),,,54.74,,,,53.76,
Percentage of Receivables with Original Maturities > 60 Months,,,78.18,%,,,82.05,%
Percentage of New Vehicles,,,50.18,%,,,40.00,%
Percentage of Non-Subvented Receivables,,,99.08,%,,,99.88,%
Weighted Average FICO Score,,,724.99,,,,734.63,
Weighted Average Loan-to-Value,,,93.30,,,,95.81,
Cutoff Date,,,"April 1, 2022",,,,"February 1, 2024",
