0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2022-1,AART 2022-1,,,AART 2025-1,AART 2025-1,
Weighted Average APR,,,6.56,%,,,9.52,%
Aggregate Amount Financed,,$,1084569770.68,,,$,1121998836.17,
Number of Contracts in Pool,,,59861,,,,58335,
Average Amount Financed,,$,18118.14,,,$,19233.72,
Weighted Average Original Maturity (in Months),,,69.93,,,,70.62,
Weighted Average Remaining Maturity (in Months),,,54.74,,,,53.50,
Percentage of Receivables with Original Maturities > 60 Months,,,78.18,%,,,79.88,%
Percentage of New Vehicles,,,50.18,%,,,40.03,%
Weighted Average FICO Score,,,724.99,,,,734.97,
Weighted Average Loan-to-Value,,,93.30,,,,94.61,
Cutoff Date,,,"April 1, 2022",,,,"September 1, 2025",
