0,1,2,3
Class of Certificates,Low Estimate of  Fair Value (Based on High Estimate of Discount Yield),Base Case Estimate  of Fair Value,High Estimate of  Fair Value (Based on Low Estimate of Discount Yield)
Class A-1,"$1,562,984","$1,562,997","$1,562,980"
Class A-2(1),"$201,994,852","$201,995,925","$201,992,116"
Class A-3(1),"$392,703,405","$392,716,526","$392,712,244"
Class X-A,"$9,234,675","$20,235,137","$28,512,790"
Class X-B,$0,"$1,914,170","$4,370,641"
Class A-S,"$77,942,973","$78,257,629","$78,257,284"
Class B,"$44,196,506","$45,023,099","$45,022,899"
Class C,"$33,122,011","$33,305,976","$33,305,233"
Class X-D,"$2,136,141","$2,179,090","$2,216,549"
Class X-E,"$471,220","$471,220","$471,220"
Class X-F,"$416,364","$416,364","$416,364"
Class D,"$23,123,308","$23,718,626","$24,203,009"
Class E,"$7,338,440","$7,338,440","$7,338,440"
Class F,"$6,017,830","$6,017,830","$6,017,830"
Class G-RR,"$7,371,776","$7,371,776","$7,371,776"
Class H-RR,"$16,065,687","$16,065,687","$16,065,687"
VRR Interest,"$19,391,049","$19,741,642","$20,006,400"
